PMID,Year,DOI,PMC,Title,Status,Route,Attempts,Error,PDFPath
493505,1979,,,[Radiologic diagnosis of benign and malignant changes occurring at anastomoses following resection of colonic cancer (author's transl)].,archived,,0,2000年前，封存不爬取,
493506,1979,,,[The enlarged retrorectal space--indicative of specific pathology or only unspecific symptom of disease in the true pelvis? (author's transl)].,archived,,0,2000年前，封存不爬取,
499977,1979,10.1159/000402306,,The value of Welin's modification of the double contrast examination in early colorectal cancer.,archived,,0,2000年前，封存不爬取,
504662,1979,10.1148/133.3.775,,Microfibrillar collagen hemostat: a new transcatheter embolization agent.,archived,,0,2000年前，封存不爬取,
505264,1979,,,Colonoscopy in the detection of carcinoma of the intestine.,archived,,0,2000年前，封存不爬取,
539063,1979,,,[Lymphographic visualization of the rectal lymphatic channels and nodes].,archived,,0,2000年前，封存不爬取,
602218,1977,,,[Limb lymphography in rectal carcinoma].,archived,,0,2000年前，封存不爬取,
636270,1978,,,[Irrigoscopy after operations on the large intestine using an anal irrigator].,archived,,0,2000年前，封存不爬取,
638697,1978,,PMC1604261,If I had..,archived,,0,2000年前，封存不爬取,
639456,1978,10.1016/s0009-9260(78)80228-1,,The retrorectal space.,archived,,0,2000年前，封存不爬取,
654018,1978,,,[Clinical and x-ray aspects of the diagnosis of multiple primary malignant tumors of the colon].,archived,,0,2000年前，封存不爬取,
663240,1978,10.1148/128.2.345,,Urinary tract after abdomino-perineal resection.,archived,,0,2000年前，封存不爬取,
672487,1978,,,[Repeated lower mesentericography in the evaluation of the effectiveness of radiotherapy of rectal cancer].,archived,,0,2000年前，封存不爬取,
684224,1978,,,"[Roentgen morphology of secondary, metastatic bone tumors (author's transl)].",archived,,0,2000年前，封存不爬取,
684394,1978,,,[Interdisciplinary treatment planning in cancer].,archived,,0,2000年前，封存不爬取,
706893,1978,,,[Value of radioisotopic study methods in detecting metastatic liver and lymph node lesions in cancer of the large intestine].,archived,,0,2000年前，封存不爬取,
707098,1978,10.1111/j.1699-0463.1978.tb02034.x,,Lymph node identification in carcinoma of the colon and rectum. Value of tissue specimen radiography.,archived,,0,2000年前，封存不爬取,
709512,1978,10.1002/1097-0142(197809)42:3+<1434::aid-cncr2820420809>3.0.co;2-p,,Carcinoembryonic antigen (CEA): its role as a monitor of radiation therapy for colorectal cancer.,archived,,0,2000年前，封存不爬取,
722659,1978,,,[Technical restatement about double contrast enema (author's transl)].,archived,,0,2000年前，封存不爬取,
736578,1978,,,The relationship between carcinoma of the rectum and hemorrhoids.,archived,,0,2000年前，封存不爬取,
736660,1978,10.1097/00000658-197812000-00018,PMC1396996,Cancer risk in extensive ulcerative colitis.,archived,,0,2000年前，封存不爬取,
740902,1978,,,[Lymphographic and lymphographic metastasis criteria for rectum carcinoma (author's transl)].,archived,,0,2000年前，封存不爬取,
742330,1978,,,[Progress in the early diagnosis of cancer of the colon and rectum].,archived,,0,2000年前，封存不爬取,
743492,1978,10.1038/bjc.1978.283,PMC2009820,The blood supply of colorectal liver metastases.,archived,,0,2000年前，封存不爬取,
838496,1977,10.1080/21548331.1977.11707094,,Detecting early colon cancer.,archived,,0,2000年前，封存不爬取,
844394,1977,10.1007/BF02587324,,The preoperative diagnosis of hepatic metastases in cases of colorectal carcinoma.,archived,,0,2000年前，封存不爬取,
847182,1977,10.1148/123.2.263,,"Genetics and cancer of the gastrointestinal system. Annual oration in honor of Herbert M. Stauffer, M.D., 1914-1970.",archived,,0,2000年前，封存不爬取,
850859,1977,,,The value of liver scan in the follow-up study of patients with adenocarcinoma of the colon and rectum.,archived,,0,2000年前，封存不爬取,
853487,1977,,,[The preponderant role of the radiologist in the prevention of recto-colonic carcinoma by the detection of polyps (author's transl)].,archived,,0,2000年前，封存不爬取,
857410,1977,,,[Importance of roentgeno-radioisotope diagnosis in precise determination of the TNM system classification of rectal cancer].,archived,,0,2000年前，封存不爬取,
862475,1977,,,[Secondary retroperitoneal fibrosis of scars following rectum exstirpation].,archived,,0,2000年前，封存不爬取,
867715,1977,,,[Importance of repeated lymphography in clinical practice].,archived,,0,2000年前，封存不爬取,
880573,1977,10.1002/1097-0142(197707)40:1<67::aid-cncr2820400113>3.0.co;2-f,,Significance of the vertebral venous (Batson's) plexus in metastatic spread in colorectal carcinoma.,archived,,0,2000年前，封存不爬取,
897520,1977,,,[Double-contrast technique for diagnostics of the large intestine (author's transl)].,archived,,0,2000年前，封存不爬取,
899195,1977,,,[Lymphographic and lymphoscintigraphic semiotics of metastases and non-tumorous changes of the lymph nodes in rectal cancer].,archived,,0,2000年前，封存不爬取,
916273,1977,,,[Villous adenoma of the colon. Report of 2 cases (author's transl)].,archived,,0,2000年前，封存不爬取,
932117,1976,,,[Surgical treatment of pulmonary metastases from rectocolic cancers. Apropos of 21 cases].,archived,,0,2000年前，封存不爬取,
936807,1976,,,[Our experiences in the surgical treatment of rectal carcinoma].,archived,,0,2000年前，封存不爬取,
942556,1976,,,[Significance of scintigraphy in the diagnosis of hepatic metastases of cancer of the large intestine and anorectum].,archived,,0,2000年前，封存不爬取,
946107,1976,10.1001/jama.235.9.906b,,Letter: Screening for colonic and rectal carcinoma.,archived,,0,2000年前，封存不爬取,
949681,1976,10.1002/1097-0142(197606)37:6<2620::aid-cncr2820370609>3.0.co;2-2,,Fast neutron radiotherapy for locally advanced pelvic cancer.,archived,,0,2000年前，封存不爬取,
962482,1976,,,[Routine double contrast radiography for the detection of colonic polyps (author's transl)].,archived,,0,2000年前，封存不爬取,
991687,1976,,,[Ureteral lesions after abdomino-perineal resection of the rectum].,archived,,0,2000年前，封存不爬取,
993665,1976,,,Toward an early diagnosis of carcinoma of the colon.,archived,,0,2000年前，封存不爬取,
996711,1976,,,Preservation of the superior hemorrhoidal artery in resection of the colon and rectum.,archived,,0,2000年前，封存不爬取,
1000469,1976,10.1002/1097-0142(197612)38:6<2310::aid-cncr2820380618>3.0.co;2-l,,Assessment of serial carcinoembryonic antigen (CEA) assays in postoperative detection of recurrent colorectal cancer.,archived,,0,2000年前，封存不爬取,
1003805,1976,,,[Irrigography as a method for determining the degree of anal retention after sphincter-preserving operations for rectal cancer].,archived,,0,2000年前，封存不爬取,
1011645,1976,,,"[Direct lymphography and inferior mesentericography--possibilities and limits in determining the location, stage and operability of rectal carcinoma].",archived,,0,2000年前，封存不爬取,
1021014,1976,,,[Evaluation of lymphography in neurologic complications of neoplastic diseases (author's transl)].,archived,,0,2000年前，封存不爬取,
1023366,1976,,,[Diagnosis and treatment of adenomatous polyps of the rectum and large intestines].,archived,,0,2000年前，封存不爬取,
1024825,1976,10.1007/BF00257960,,The correlation between liver scintigraphy and serum CEA levels in the detection of liver metastases from rectum carcinoma. A retrospective study.,archived,,0,2000年前，封存不爬取,
1052440,1976,10.1007/BF02256338,,The double-contrast enema: myths and misconceptions.,archived,,0,2000年前，封存不爬取,
1053789,1975,,,Clinical correlation of hepatic flow studies.,archived,,0,2000年前，封存不爬取,
1082331,1975,10.1111/j.1445-2197.1975.tb05773.x,,The results of diagnostic colonoscopy in the management of unexplained bleeding from the rectum.,archived,,0,2000年前，封存不爬取,
1083011,1976,,,[Round-table discussion on gastrointestinal hemorrhage. Does better cooperation among specialists give greater effect than new therapy forms].,archived,,0,2000年前，封存不爬取,
1090479,1975,,,Computer-aided diagnosis of lower gastrointestinal tract disorders.,archived,,0,2000年前，封存不爬取,
1091321,1975,10.1002/bjs.1800620318,,Single layer anastomosis after rectosigmoid resection.,archived,,0,2000年前，封存不爬取,
1093504,1975,10.1001/archinte.135.6.835,,Transient bacteremia associated with barium enema.,archived,,0,2000年前，封存不爬取,
1097360,1975,,,[Cancer check-up in the male].,archived,,0,2000年前，封存不爬取,
1115052,1975,10.1007/BF01073135,,Unusual involvement of the rectum by carcinoma of the prostate.,archived,,0,2000年前，封存不爬取,
1119474,1975,,,The radiology corner. Anorectal melanoma.,archived,,0,2000年前，封存不爬取,
1119662,1975,10.2214/ajr.123.1.74,,Metastatic carcinoma simulating inflammatory colitis.,archived,,0,2000年前，封存不爬取,
1119678,1975,10.1016/0002-9610(75)90295-0,,Comparison of colonoscopy and the contrast enema in five hundred patients with colorectal disease.,archived,,0,2000年前，封存不爬取,
1125588,1975,10.1136/bmj.1.5956.493,PMC1672569,Oxygen therapy for pneumatosis coli.,archived,,0,2000年前，封存不爬取,
1126258,1975,10.1007/BF02587230,,Clinical experiences at St. Mark's Hospital with multiple synchronous cancers of the colon and rectum.,archived,,0,2000年前，封存不爬取,
1126810,1975,,,Fractionated cystography to assess infiltration of the bladder wall by intravesical tumors.,archived,,0,2000年前，封存不爬取,
1127725,1975,,,Sequential studies of serum blocking activity in rats bearing chemically induced primary bowel tumors.,archived,,0,2000年前，封存不爬取,
1133921,1975,,,[Role of color lymphography in increasing the incidence of radical surgical interventions in rectal cancer].,archived,,0,2000年前，封存不爬取,
1145274,1975,,,[X-ray diagnosis of late complications after surgery of the rectum and colon].,archived,,0,2000年前，封存不爬取,
1145924,1975,10.1016/0090-4295(75)90595-6,,Urodynamic evaluation after abdominal-perineal resection and lumbar intervertebral disk herniation.,archived,,0,2000年前，封存不爬取,
1154032,1975,10.1016/s0001-2998(75)80013-4,,Current status of carcinoembryonic antigen assay.,archived,,0,2000年前，封存不爬取,
1156167,1975,10.1001/archsurg.1975.01360150077014,,Colitis proximal to obstructing colonic carcinoma.,archived,,0,2000年前，封存不爬取,
1160537,1975,,,[Selective lower mesentericography in malignant tumors of the rectum].,archived,,0,2000年前，封存不爬取,
1162570,1975,,,The clinical implications of a staging system for carcinoma of the anus.,archived,,0,2000年前，封存不爬取,
1168755,1975,,,[X-ray diagnosis of polyps of the large intestine-use of a universal gyroscopic TV apparatus].,archived,,0,2000年前，封存不爬取,
1172172,1975,,,[Lymphographic characteristics of metastatic tumors of the lymph nodes].,archived,,0,2000年前，封存不爬取,
1178892,1975,10.1148/117.2.483,,The cleansingenema.,archived,,0,2000年前，封存不爬取,
1183061,1975,,,Malignant tumours of the rectum. Part I: radiotherapy.,archived,,0,2000年前，封存不爬取,
1185073,1975,,,Glucagon assisted air-barium contrast colonography in a small hospital setting.,archived,,0,2000年前，封存不爬取,
1191900,1975,10.1259/0007-1285-48-574-801,,Villous adenoma of the large bowel; benign and malignant.,archived,,0,2000年前，封存不爬取,
1199660,1975,,,[Multidisciplinary treatment of cancers of the rectum. Clinical diagnosis].,archived,,0,2000年前，封存不爬取,
1209746,1975,10.1177/030089167506100506,,"[Reliability and value of diagnostic lymphography in carcinoma of the sigmoid, rectum and anus (author's transl)].",archived,,0,2000年前，封存不爬取,
1209903,1975,,,[X-ray diagnosis of local complications after anterior resection of the rectum and sigmoid].,archived,,0,2000年前，封存不爬取,
1215525,1975,,,[The complete colon examination (author's transl)].,archived,,0,2000年前，封存不爬取,
1215527,1975,,,Double contrast examination in disease of the anorectal region.,archived,,0,2000年前，封存不爬取,
1217846,1975,,,Roentgenological features in villous papilloma of the colon and rectum.,archived,,0,2000年前，封存不爬取,
1226857,1975,,,[Rectal carcinoma in women. A contribution to preventive medicine].,archived,,0,2000年前，封存不爬取,
1228319,1975,,,[Lymphographic determination of metastatic lesion of the lymph nodes].,archived,,0,2000年前，封存不爬取,
1240882,1975,,,[Villous tumors of the rectum. Apropos of 30 cases].,archived,,0,2000年前，封存不爬取,
1241466,1975,10.1177/030089167506100410,,[Uro-radiographic investigations in patients with tumors in the large bowel (author's transl)].,archived,,0,2000年前，封存不爬取,
1244693,1976,,,The treatment of cancer of the large intestine.,archived,,0,2000年前，封存不爬取,
1247300,1976,10.1097/00000658-197601000-00002,PMC1344173,Carcinoembryonic antigen (CEA) as a prognostic and monitoring test in clinically complete resection of colorectal carcinoma.,archived,,0,2000年前，封存不爬取,
1247974,1976,10.1002/1097-0142(197601)37:1+<434::aid-cncr2820370706>3.0.co;2-o,,What should the physician ask?,archived,,0,2000年前，封存不爬取,
1253655,1976,10.1007/BF02590867,,Bone scanning in carcinomas of the colon and rectum.,archived,,0,2000年前，封存不爬取,
1282054,1992,10.1007/BF00308896,,Radical lymphadenectomy for rectal cancer facilitated by a carbon particle infusion lymphangiography.,archived,,0,2000年前，封存不爬取,
1290207,1992,10.1007/BF02926924,,CT of the urinary tract after abdominoperineal resection for rectal carcinoma.,archived,,0,2000年前，封存不爬取,
1299163,1992,,,[Quality of life of patients after restorative surgery for cancer of the rectum].,archived,,0,2000年前，封存不爬取,
1305114,1992,,,[Colorectal cancer. Experience in 120 patients].,archived,,0,2000年前，封存不爬取,
1306144,1992,,,[Anastomotic complications in the surgical treatment of rectal neoplasms].,archived,,0,2000年前，封存不爬取,
1313554,1992,10.1097/00006231-199203000-00010,,"Pattern of 2-deoxy-2-[18F]-fluro-D-glucose accumulation in liver tumours: primary, metastatic and after chemotherapy.",archived,,0,2000年前，封存不爬取,
1335098,1992,10.1002/jcb.240501126,,Modulation of gene expression as a biomarker in colon.,archived,,0,2000年前，封存不爬取,
1377557,1992,10.1007/978-3-0348-7001-6_59,,Clinical investigations on blood perfusion in human malignancies of the pelvis and abdomen: significance for tumor therapy.,archived,,0,2000年前，封存不爬取,
1389653,1992,,,Nonresectable adenocarcinoma of the rectum assessed by MR imaging before and after chemotherapy and irradiation.,archived,,0,2000年前，封存不爬取,
1411932,1992,,,Radioimmunoguided surgery challenges traditional decision making in patients with primary colorectal cancer.,archived,,0,2000年前，封存不爬取,
1425758,1992,10.1016/0720-048x(92)90148-3,,Magnetic resonance imaging of the gastrointestinal tract: investigation of baby milk as a low cost contrast medium.,archived,,0,2000年前，封存不爬取,
1426839,1992,,,[What is the role of rectosigmoidoscopy in the early diagnosis of colorectal cancer?].,archived,,0,2000年前，封存不爬取,
1426852,1992,10.1007/BF01888584,,Benign colorectal neoplasms undetected by colonoscopy.,archived,,0,2000年前，封存不爬取,
1431344,1992,10.1177/172460089200700312,,"Pilot, multicenter and prospective trials with an anti-CEA antibody.",archived,,0,2000年前，封存不爬取,
1463689,1992,10.1016/s0936-6555(05)81129-x,,Usefulness of immunoscintigraphy in the follow-up of surgically treated gastrointestinal carcinomas using 111In-labelled anti-CEA monoclonal antibodies.,archived,,0,2000年前，封存不爬取,
1481964,1992,,,[Diagnostic possibilities of computerized tomography in disseminated forms of genital endometriosis with involvement of the adjacent organs].,archived,,0,2000年前，封存不爬取,
1483951,1992,10.1111/j.1349-7006.1992.tb02772.x,PMC5918731,Detection of locally recurrent colorectal cancer with radiolabeled monoclonal antibody H-15.,archived,,0,2000年前，封存不爬取,
1489979,1992,,,Computed tomography detection of gastrointestinal neoplasms.,archived,,0,2000年前，封存不爬取,
1491757,1992,,,[Defecography and manometry in the postoperative follow-up of patients treated with colo-anal anastomosis by the Parks technique for neoplasm stenosis of the rectum].,archived,,0,2000年前，封存不爬取,
1504120,1992,,,[Typical findings and erroneous findings in SPECT-radioimmunoscintigraphy using 99mTc-labeled CEA antibodies in colorectal tumors].,archived,,0,2000年前，封存不爬取,
1506272,1992,10.1111/j.1349-7006.1992.tb00118.x,PMC5918825,Autoradiographic analysis of radiolabeled anti-carcinoembryonic antigen monoclonal antibody CEA102 in colorectal cancer using computed radiography.,archived,,0,2000年前，封存不爬取,
1511212,1992,,,[Magnetic resonance tomography: value and limits in gastroenterologic diagnosis].,archived,,0,2000年前，封存不爬取,
1529194,1992,,,[Role of current diagnostic procedures in gastroenterology: MRI].,archived,,0,2000年前，封存不爬取,
1529837,1992,10.2214/ajr.159.4.1529837,,Regional lymph node metastases in carcinoma of the left side of the colon and rectum: CT demonstration.,archived,,0,2000年前，封存不爬取,
1530296,1992,,,[Intermittent intra-arterial infusion chemotherapy using implantable reservoir for the treatment of hepatic metastasis].,archived,,0,2000年前，封存不爬取,
1540805,1992,10.1259/0007-1285-65-770-143,,"Mitomycin C, 5-fluorouracil and radiation in advanced, locally recurrent rectal cancer.",archived,,0,2000年前，封存不爬取,
1545593,1992,10.1016/s0025-6196(12)60102-5,,Colorectal cancer: the case for barium enema.,archived,,0,2000年前，封存不爬取,
1558288,1992,10.1016/0002-9610(92)90053-t,,Radiolabeled monoclonal antibody imaging (immunoscintigraphy) of colorectal cancers: current status and future perspectives.,archived,,0,2000年前，封存不爬取,
1565782,1992,,,[Diagnostic and therapeutic strategies in locally recurrent rectal cancer].,archived,,0,2000年前，封存不爬取,
1566194,1992,,,[Magnetic resonance tomography and magnetic resonance angiography of an infiltration of the left and right atria by a liver metastasis].,archived,,0,2000年前，封存不爬取,
1568394,1992,10.1007/BF02049399,,DNA image cytometry: a prognostic tool in rectal cancer?,archived,,0,2000年前，封存不爬取,
1574769,1992,,,"Therapy monitoring of presacral recurrences after high-dose irradiation: value of PET, CT, CEA and pain score.",archived,,0,2000年前，封存不爬取,
1576912,1992,,,[Value of MR imaging in the staging of rectal carcinoma].,archived,,0,2000年前，封存不爬取,
1576915,1992,,,[Image analysis of precancerous and carcinomatous changes of large intestine in histopathologic diagnosis].,archived,,0,2000年前，封存不爬取,
1579094,1992,,,[Image cytometric DNA analysis in the evaluation of the risk of recurrence after resection of rectal carcinoma].,archived,,0,2000年前，封存不爬取,
1587176,1992,10.1007/BF02050538,,Results of abdominoperineal resections for failures after combination chemotherapy and radiation therapy for anal canal cancers.,archived,,0,2000年前，封存不爬取,
1589179,1992,10.1097/00006231-199204000-00158,,Radioimmunoscintigraphy of colorectal carcinoma with a 99Tcm-labelled anti-CEA monoclonal antibody (BW 431/26).,archived,,0,2000年前，封存不爬取,
1591680,1992,10.1002/1097-0142(19920615)69:12<2876::aid-cncr2820691203>3.0.co;2-q,,Extensive en bloc resection of regionally recurrent carcinoma of the rectum.,archived,,0,2000年前，封存不爬取,
1605550,1992,,,[Place of surgery in primary digestive non-Hodgkin's lymphomas].,archived,,0,2000年前，封存不爬取,
1611955,1992,10.1007/BF02053758,,Biopathologic characteristics of DNA content in crypt cells of transitional mucosa adjacent to carcinomas of the rectum and rectosigmoid.,archived,,0,2000年前，封存不爬取,
1612314,1992,10.1007/BF01888564,,"Comparison of precontrast, postcontrast, and delayed CT scanning for the staging of rectal carcinoma.",archived,,0,2000年前，封存不爬取,
1613070,1992,,,[Supplement of CT evaluation on staging of rectal carcinoma].,archived,,0,2000年前，封存不爬取,
1617236,1992,10.1007/978-3-0348-7001-6_55,,The effect of angiotensin II on tumor blood flow and the delivery of microparticulate cytotoxic drugs.,archived,,0,2000年前，封存不爬取,
1618669,1992,10.1016/0360-3016(92)90649-3,,Hyperthermia combined with radiation therapy for primarily unresectable and recurrent colorectal cancer.,archived,,0,2000年前，封存不爬取,
1623474,1992,10.1002/1097-0142(19920801)70:3<581::aid-cncr2820700307>3.0.co;2-e,,Experience with high-dose radiation therapy and the intestinal sling procedure in patients with rectal carcinoma.,archived,,0,2000年前，封存不爬取,
1643485,1992,10.1002/bjs.1800790730,,Flush aortic tie versus selective preservation of the ascending left colic artery in low anterior resection for rectal carcinoma.,archived,,0,2000年前，封存不爬取,
1644105,1992,10.1007/BF00185854,,Kinetics and dosimetry of iodine-131-labelled antibody fragments after local administration in patients with rectal cancer.,archived,,0,2000年前，封存不爬取,
1657360,1991,10.1002/1097-0142(19911215)68:12<2545::aid-cncr2820681202>3.0.co;2-f,,Prevention of radiation enteritis by an absorbable polyglycolic acid mesh sling. A 60-case multicentric study.,archived,,0,2000年前，封存不爬取,
1689079,1990,,,"Neutron therapy (dT, 14 MeV) for recurrence of rectal cancer: interim analysis from Münster.",archived,,0,2000年前，封存不爬取,
1695545,1990,10.1002/1097-0142(19900501)65:9<2047::aid-cncr2820650926>3.0.co;2-4,,"Characterization of human colorectal mucosa, polyps, and cancers by means of computerized morphonuclear image analyses.",archived,,0,2000年前，封存不爬取,
1708073,1991,,,[The combined radionuclide diagnosis of rectal cancer recurrences].,archived,,0,2000年前，封存不爬取,
1711439,1991,10.1007/BF02049901,,Use of photodynamic therapy in the palliation of massive advanced rectal cancer. Phase I/II study.,archived,,0,2000年前，封存不爬取,
1729783,1992,10.2214/ajr.158.2.1729783,,Rectal carcinoma treated by preoperative irradiation: MR imaging and histopathologic correlation.,archived,,0,2000年前，封存不爬取,
1730114,1992,10.1002/1097-0142(19920201)69:3<620::aid-cncr2820690304>3.0.co;2-k,,Preoperative imaging of colorectal cancers. Targeting the epithelial membrane antigen with a radiation-labeled monoclonal antibody.,archived,,0,2000年前，封存不爬取,
1730980,1992,,,Safety and role of repeated administrations of Indium-111-labeled anti-carcinoembryonic antigen monoclonal antibody ZCE 025 in the postoperative follow-up of colorectal carcinoma patients.,archived,,0,2000年前，封存不爬取,
1732979,1992,10.1148/radiology.182.2.1732979,,Recurrent rectal cancer and scar: differentiation with PET and MR imaging.,archived,,0,2000年前，封存不爬取,
1733440,1992,10.1038/bjc.1992.7,PMC1977339,The combination of degradable starch microspheres and angiotensin II in the manipulation of drug delivery in an animal model of colorectal metastasis.,archived,,0,2000年前，封存不爬取,
1733469,1992,10.1055/s-2008-1032828,,[X-ray measurement of the level of rectal carcinomas and its dependence on the functional status of the pelvic floor].,archived,,0,2000年前，封存不爬取,
1736344,1992,10.3109/00365529209011168,,Reliability of in situ measurements of colorectal polyps.,archived,,0,2000年前，封存不爬取,
1745934,1991,,,[The potentialities of MRT in radiation planning for rectal cancer].,archived,,0,2000年前，封存不爬取,
1764342,1991,10.1007/BF03164625,,Application of single-photon emission computed tomography (SPECT) with 99mTc-MAA in evaluation of perfusion patterns during hepatic infusion chemotherapy.,archived,,0,2000年前，封存不爬取,
1768746,1991,,,[Diagnosis using monoclonal antibody imaging in the clinical follow-up of colorectal cancer].,archived,,0,2000年前，封存不爬取,
1769467,1991,,,[Contribution of 131I MIBG scintigraphy in the diagnosis of carcinoid tumors of the digestive tract. Experience of 14 cases].,archived,,0,2000年前，封存不爬取,
1770281,1991,10.1007/BF00341385,,Anastomotic leaks in colorectal cancer surgery: a risk factor for recurrence?,archived,,0,2000年前，封存不爬取,
1772696,1991,,,Physiological considerations in imaging liver metastases from colorectal carcinoma.,archived,,0,2000年前，封存不爬取,
1781195,1991,,,[Value of magnetic resonance tomography in gastroenterological diagnosis].,archived,,0,2000年前，封存不爬取,
1784761,1991,,,[Control of colorectal cancer recurrence treated with curative surgery: results of a prospective study].,archived,,0,2000年前，封存不爬取,
1787564,1991,,,[Polyps of the colon and rectum].,archived,,0,2000年前，封存不爬取,
1787583,1991,,,[Diagnostic ability of barium enema examination for the protruded lesions of the large intestine and rectum].,archived,,0,2000年前，封存不爬取,
