Batch,PMID,Year,DOI,PMC,Status,Title
b1,42327954,2026,10.1177/15353508261462778,PMC13276228,pending,Radiomic Analysis of MRI for Assessing Response to Neoadjuvant Chemoradiotherapy in Rectal Adenocarcinoma: A Systematic Review and Metaanalysis.
b1,42305096,2026,10.1177/15330338261461018,PMC13276233,pending,Clinical Analysis of Rotational-Translational Error Coupling in 3DoF Versus 6DoF CBCT Couch Corrections:A Cross-Sectional Study.
b1,42299312,2026,10.1109/isbi61048.2026.11515991,PMC13264811,pending,DUAL CROSS-ATTENTION SIAMESE TRANSFORMER FOR RECTAL TUMOR REGROWTH ASSESSMENT IN WATCH-AND-WAIT ENDOSCOPY.
b1,42298359,2026,10.1002/cam4.72056,PMC13269158,pending,"Correction to ""Macro Habitat-Based T2-Weighted MRI Radiomics and Deep Learning Fusion for Predicting Treatment Response and Prognosis After Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer""."
b1,42293813,2026,10.1177/11795549261459800,PMC13261024,pending,Magnetic Resonance Imaging Features as Predictors of Response and Prognosis Following Neoadjuvant Therapy in Rectal Cancer: A Retrospective Cohort Study.
b1,42292396,2026,10.3389/fimmu.2026.1782231,PMC13260345,pending,MRI-guided risk stratification for neoadjuvant immunotherapy in rectal cancer.
b1,42290893,2026,10.1016/j.ctro.2026.101191,PMC13263622,pending,Safety and early organ preservation outcomes after dose escalation with MR-guided radiotherapy for rectal cancer (preRADAR): A phase I trial.
b1,42283058,2026,10.21037/qims-2025-1-2596,PMC13250403,pending,Amide proton transfer-weighted magnetic resonance imaging for predicting histopathology and biomarkers in rectal adenocarcinoma.
b1,42279492,2026,10.3390/diagnostics16111624,PMC13257115,pending,Differential Association of Visceral and Subcutaneous Adipose Tissue with Treatment Response to Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer.
b1,42277750,2026,10.1186/s12885-026-16316-4,PMC13483857,pending,Fusion of MRI-radiomics and clinical features to improve pathological T-stage prediction of rectal cancer: a multicenter study.
b1,42273153,2026,10.21037/qims-2025-aw-2471,PMC13247935,pending,Histogram analysis of diffusion kurtosis imaging for T restaging and predicting complete response of locally advanced rectal cancer following neoadjuvant immunotherapy.
b1,42266126,2026,10.3393/ac.2025.01312.0187,PMC13254660,pending,Diagnostic accuracy of magnetic resonance imaging for rectal cancer: is it time to reassess the gold standard?
b1,42255982,2026,10.1016/j.ctro.2026.101194,PMC13234591,pending,MESORECT : Influence of bladder depletion on mesorectal movements during radiation therapy of locally advanced rectal cancers: a prospective comparative study.
b1,42255226,2026,10.3389/fonc.2026.1816420,PMC13236564,pending,Preoperative prediction of lymphatic metastasis in rectal cancer using a fusion model based on multiparameter magnetic resonance imaging: a retrospective validation study.
b1,42246062,2026,10.1002/cncr.70464,PMC13238446,pending,Executive summary of American Radium Society Appropriate Use Criteria for the treatment of locoregionally recurrent rectal cancer.
b1,42245732,2026,10.3389/fonc.2026.1834468,PMC13229763,pending,The predictive value of multi-phase contrast-enhanced MRI for pathological complete response after neoadjuvant chemoradiotherapy in rectal cancer.
b1,42240684,2026,10.1007/s10151-026-03344-2,PMC13454011,pending,Development and validation of an interpretable machine learning model for predicting postoperative complications after transanal total mesorectal excision: a multicenter study.
b1,42236830,2026,10.1038/s41598-026-55784-3,PMC13473617,pending,Rectal smooth muscle loss as a predictor of severe postoperative complications in rectal cancer surgery.
b1,42226565,2026,10.1002/jso.70294,PMC13427125,pending,Real‑World Experience of Circulating Tumor DNA Testing in Extended Pelvic Exenteration: A Chinese Single‑Institution Observational Study.
b1,42222428,2026,10.1016/j.ejro.2026.100762,PMC13217831,pending,Radiomics analysis of restaging MRI for detection of pathological complete response in locally advanced rectal cancer.
b1,42222427,2026,10.1016/j.ejro.2026.100763,PMC13218117,pending,A head-to-head comparison of MRI and CT using Node-RADS for rectal cancer lymph nodes: Observer agreement and diagnostic performance.
b1,42222388,2026,10.3389/fonc.2026.1841797,PMC13217689,pending,Correction: Radiomics analysis of multi-sequence MR images for predicting microsatellite instability status preoperatively in rectal cancer.
b1,42210090,2026,10.1186/s11658-026-00947-3,PMC13397665,pending,KRAS(G12V/A146T) mutations are associated with nCRT resistance via enhanced DNA double-strand break repair and support a deep learning prediction framework in LARC.
b1,42196891,2026,10.3390/diagnostics16101525,PMC13206658,pending,The Diagnostic Value of Deep Learning for Multi-Classification of Rectal Cancer T Staging Based on Regional Attention.
b1,42196847,2026,10.3390/diagnostics16101481,PMC13205548,pending,Diagnostic Performance and Misclassification Patterns of Preoperative MRI in Rectal Cancer: A Real-World Study.
b1,42192306,2026,10.1186/s10020-026-01516-2,PMC13390202,pending,"Evolution of Gastrointestinal Inflammatory Diseases and Neoplasm Burden in Super-Elderly Populations: Integrated GBD 2023, CHARLS, and CLHLS Analyses of China and G20 Countries."
b1,42192138,2026,10.1038/s41746-026-02798-w,PMC13483952,pending,Personalized neoadjuvant treatment regimen selection in locally advanced rectal cancer based on regimen-specific response modeling.
b1,42187894,2026,10.3390/diseases14050182,PMC13205331,pending,"Total Neoadjuvant Therapy, Organ Preservation and Beyond: A State-of-the-Art Systematic Review and Critical Appraisal of Locally Advanced Rectal Cancer Management."
b1,42187595,2026,10.3390/curroncol33050278,PMC13206133,pending,Significant Correlation of Dynamic Pan-Immune Inflammation Value and Magnetic Resonance Imaging Response in Patients with Locally Advanced Rectal Cancer Treated with Total Neoadjuvant Therapy.
b1,42187591,2026,10.3390/curroncol33050274,PMC13205845,pending,A Consensus Approach to the Incorporation of Total Neoadjuvant Therapy in a Treatment Algorithm for Stage I-III Resectable Rectal Cancer.
b1,42185305,2026,10.1038/s41467-026-73565-4,PMC13385896,pending,Machine learning model-guided selective use of temporary diverting ileostomy in rectal cancer surgery: a randomized controlled trial.
b1,42180157,2026,10.3389/pore.2026.1612303,PMC13189980,pending,Magnetic resonance imaging based radiomics for predicting pathogenetic features and survival in rectal cancer.
b1,42174531,2026,10.1186/s12885-026-16175-z,PMC13349071,pending,Radiological staging clinical decision support model for rectal cancer lymph node metastasis detection on MRI.
b1,42174369,2026,10.1007/s40291-026-00853-6,PMC13319260,pending,Real-Time Detection of Colorectal Cancer Using Topical Application of a pH-Activatable Fluorophore.
b1,42171860,2026,10.1186/s13244-026-02296-3,PMC13197564,pending,A pre-trained foundation model framework for multiplanar MRI classification of extramural vascular invasion and mesorectal fascia invasion in rectal cancer.
b1,42171757,2026,10.1007/s00384-026-05155-1,PMC13372953,pending,Automated deep learning model for predicting pathological complete response in rectal cancer: A tool to organ-preserving strategies.
b1,42163131,2026,10.1186/s12880-026-02443-8,PMC13390417,pending,Preoperative identification of tumor deposits in rectal cancer using a transformer-based multimodal fusion model: a multicenter retrospective study.
b1,42159837,2026,10.1186/s41747-026-00727-w,PMC13190968,pending,Preoperative prediction of tumor budding grade in rectal cancer by combining APT histogram analysis and ADC MRI.
b1,42158835,2026,10.5114/pjr/215289,PMC13182697,pending,Intravoxel incoherent motion diffusion-weighted imaging in the staging of rectal non-mucinous adenocarcinoma.
b1,42158315,2026,10.1016/j.phro.2026.100990,PMC13181284,pending,In-vivo dosimetry using electronic portal imaging in online-adaptive radiotherapy for rectal cancer.
b1,42151880,2026,10.1186/s12880-026-02367-3,PMC13360884,pending,Preoperative synthetic magnetic resonance imaging-based biomarkers for predicting tumor budding of rectal cancer.
b1,42151463,2026,10.1007/s00464-026-12878-3,PMC13246564,pending,SAGES colorectal and metabolic bariatric surgery committee joint task force call to action for synchronized severe obesity and colorectal cancer management.
b1,42147925,2026,10.21037/qims-2025-2040,PMC13178331,pending,Multiparametric MRI-derived biomarkers for preoperative prediction of recurrence and/or metastasis after neoadjuvant chemoradiotherapy in locally advanced rectal cancer.
b1,42147366,2026,10.21147/j.issn.1000-9604.2026.02.11,PMC13171412,pending,Development and validation of a multiparametric magnetic resonance imaging-based nomogram for predicting feasibility of sphincter-preserving surgery in mid-low rectal cancer.
b1,42146825,2026,10.1002/ags3.70162,PMC13178289,pending,Prognostic Value of Psoas Major Muscle Volume in Assessing Sarcopenia in Elderly Patients With Rectal Cancer.
b1,42146808,2026,10.1002/ags3.70146,PMC13178290,pending,Impact of Body Weight Loss During Preoperative Chemoradiotherapy on Prognosis of Patients With Lower Rectal Cancer.
b1,42142395,2026,10.1002/acm2.70601,PMC13179840,pending,Predictive value of primary gross tumor volume measured by MRI in response to neoadjuvant chemoradiotherapy in locally advanced rectal cancer.
b1,42138822,2026,10.1002/jmri.70373,PMC13466571,pending,"Editorial for ""MRI Habitat Analysis for Preoperative Prediction of Perineural Invasion and Prognostic Stratification in Rectal Cancer""."
b1,42138820,2026,10.1002/jmri.70375,PMC13466575,pending,MRI Habitat Analysis for Preoperative Prediction of Perineural Invasion and Prognostic Stratification in Rectal Cancer.
b1,42135422,2026,10.1038/s41698-026-01476-0,PMC13421654,pending,Multimodal prediction for radiotherapy-induced hematologic toxicity in rectal cancer patients.
b1,42133104,2026,10.1007/s10151-026-03333-5,PMC13341835,pending,Use of artificial intelligence in analysis of endoscopic images to detect residual disease or regrowth in rectal patients with complete clinical response to neoadjuvant chemoradiotherapy.
b1,42131461,2026,10.5603/rpor.110098,PMC13167014,pending,Prospective study on dose escalation using intensity modulated radiotherapy (IMRT) with simultaneous integrated boost (SIB) and concurrent chemotherapy in preoperative locally advanced rectal cancer.
b1,42129011,2026,10.1186/s13244-026-02299-0,PMC13172102,pending,Microstructural mapping of time-dependent diffusion MRI for predicting lymphovascular invasion in rectal cancer: a proof-of-concept investigation.
b1,42128940,2026,10.1007/s00384-026-05144-4,PMC13341913,pending,Effect of prolonged interval between neoadjuvant chemoradiotherapy and surgery on pathological and oncological outcomes in locally advanced rectal cancer: a randomized controlled trial.
b1,42125766,2026,10.3892/br.2026.2147,PMC13158723,pending,Machine learning-based identification of key genes underlying sex differences in hepatocellular carcinoma and targeted drug screening.
b1,42125433,2026,10.23922/jarc.2025-100,PMC13160577,pending,Validation of Magnetic Resonance Imaging-Based Diagnostic Criteria for Lateral Lymph Node Dissection in Rectal Cancer: A Multicenter Prospective Study.
b1,42122235,2026,10.3390/cancers18091440,PMC13163067,pending,"Radiomics' Role in Predicting Distant Metastases, Recurrence and Survival Outcome in Rectal Cancer: A Systematic Review."
b1,42094203,2026,10.3389/fonc.2026.1739343,PMC13138983,pending,Integrating MRI habitat heterogeneity and peritumoral radiomics into a nomogram for optimized risk stratification in locally advanced rectal cancer: a multicenter study.
b1,42087551,2026,10.1111/ans.70724,PMC13327583,pending,Artificial Intelligence Models Using Magnetic Resonance Imaging to Predict Response to Chemoradiotherapy in Rectal Cancer: A Systematic Review.
b1,42087101,2026,10.1186/s12880-026-02397-x,PMC13289560,pending,Prediction of tumor regression grading in rectal cancer neoadjuvant chemoradiotherapy: a habitat radiomics analysis of imaging biomarker.
b1,42073527,2026,10.3390/cancers18081200,PMC13115387,pending,Total Neoadjuvant Therapy Outcomes and Watch-and-Wait Feasibility in Locally Advanced Rectal Cancer: A Single-Institution Retrospective Cohort Study.
b1,42071310,2026,10.1002/cam4.71773,PMC13136072,pending,Macro Habitat-Based T2-Weighted MRI Radiomics and Deep Learning Fusion for Predicting Treatment Response and Prognosis After Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer.
b1,42071008,2026,10.1038/s41392-026-02683-8,PMC13136308,pending,"Total neoadjuvant chemotherapy combined with PD‑1 blockade and IL‑2 in MSS/pMMR locally advanced rectal cancer: short-term results of a prospective, single-arm phase II study."
b1,42065055,2026,10.32604/or.2026.075314,PMC13126397,pending,Identify MTDH as a Key Gene of Radio-Resistance in Colorectal Cancer Based on Multi-Omics and Experimental Validation.
b1,42062990,2026,10.1186/s12885-026-16049-4,PMC13474779,pending,Transformer-based Siamese multimodal imaging model for predicting pathological complete response after neoadjuvant chemoradiotherapy in locally advanced rectal cancer.
b1,42057017,2026,10.1186/s12957-026-04368-6,PMC13267367,pending,Exploration of between-hospital variation and the basis for decision making in management of malignant colorectal polyps- a Danish population-based study.
b1,42044985,2026,10.3349/ymj.2024.0293,PMC13121786,pending,Deep Learning-Based Prediction System for Surgical Difficulty in Rectal Cancer Patients Using MRI Pelvimetry.
b1,42040897,2026,10.1155/humu/9790288,PMC13109662,pending,Variant-to-Biomarker Integration and Mechanistic Validation Identify CES1 as a Copy Number-Linked Predictor of Radiotherapy Response in Rectal Cancer.
b1,42039715,2026,10.4103/jmp.jmp_244_25,PMC13105380,pending,Can Rectal Cancer Patients with Complete Response to Neoadjuvant Chemoradiotherapy Avoid Surgery?
b1,42023195,2026,10.1007/s13193-026-02569-9,PMC13096359,pending,Tailoring Rectal Cancer Treatment: Total Neoadjuvant Therapy and the Shift Towards Organ Preservation.
b1,42022355,2026,10.1002/pro6.70055,PMC13097691,pending,"MRI-based qualitative, quantitative, and radiomics/deep learning methods for assessing treatment response after neoadjuvant chemoradiotherapy in patients with locally advanced rectal cancer."
b1,42018309,2026,10.1001/jamasurg.2026.1036,PMC13103874,pending,Prevention of Parastomal Hernia With Funnel-Shaped Intra-Abdominal Mesh vs No Mesh for Rectal Adenocarcinoma Surgery: 3-Year Follow-Up of a Randomized Clinical Trial.
b1,42016685,2026,10.1002/ccr3.72322,PMC13093551,pending,A Case Illustrating Challenges: Early-Onset Signet Ring Cell Rectal Carcinoma With Fulminant Peritoneal Progression.
b1,42014598,2026,10.1007/s12672-026-04895-4,PMC13234097,pending,Four clinical dilemmas in surgical decision making for low rectal cancer.
b1,42008048,2026,10.1186/s13244-026-02276-7,PMC13096300,pending,Decoding the association between CT-derived body composition metrics and prognosis in stage II rectal cancer.
b1,42005714,2026,10.1016/j.ctro.2026.101159,PMC13091465,pending,Plasma serine and glycine in relation to clinical outcomes following neoadjuvant radiotherapy for rectal cancer.
b1,41998194,2026,10.1007/s00423-026-04047-w,PMC13091882,pending,Discrepancies between clinical and radiological assessment of complete remission of rectal cancer after neoadjuvant radiochemotherapy.
b1,41992879,2026,10.2340/ao.v65.45169,PMC13097092,pending,Risk factors for distant recurrence in patients with rectal cancer supporting selection for total neoadjuvant therapy.
b1,41992467,2026,10.1002/ijc.70503,PMC13397155,pending,Availability of Cancer Screening Across HIV Treatment Sites in the IeDEA Consortium.
b1,41987351,2026,10.1002/jso.70263,PMC13353141,pending,Pelvic MRI Following Total Neoadjuvant Therapy for Rectal Cancer Poorly Predicts a Complete Clinical Response.
b1,41987267,2026,10.1186/s40644-026-01020-0,PMC13192049,pending,Magnetic resonance imaging-based radiomics of mesorectum for predicting extramural venous invasion in patients with rectal cancer: a bi-centric study.
b1,41978391,2026,10.19723/j.issn.1671-167X.2026.02.004,PMC13077302,pending,[Current status and future perspectives of precision treatment for locally advanced rectal cancer].
b1,41972022,2026,10.21037/qims-2025-1884,PMC13066833,pending,A comparative study of magnetic resonance imaging image-based deep learning and conventional turbo spin echo sequence in tumor-node staging of rectal cancer.
b1,41970537,2026,10.4174/astr.2026.110.4.237,PMC13062666,pending,Improving prediction of ypT0-1N0 response in rectal cancer: the added value of gross tumor type to magnetic resonance tumor regression grade after chemoradiotherapy in a retrospective cohort study.
b1,41970388,2026,10.3389/fmed.2026.1775773,PMC13061711,pending,Application of a MRI model based on tumor microenvironment habitat and peritumoral features in preoperative differentiation of rectal cancer T1-2/T3: a multicenter study.
b1,41969443,2026,10.21037/tcr-2025-aw-2295,PMC13066984,pending,Development and internal validation of a prognostic nomogram for lung metastasis in locally advanced rectal cancer incorporating molecular markers.
b1,41965570,2026,10.1186/s12885-026-15978-4,PMC13192233,pending,Metabolomics and proteomics analyses reveal the potiental mechanisms underlying colorectal cancer and chemotherapy targets.
b1,41961037,2026,10.1016/j.jaccas.2026.107722,PMC13184856,pending,Right Ventricular Metastasis From Rectal Cancer Recurrence.
b1,41948162,2026,10.1055/a-2769-1185,PMC13053106,pending,Can Artificial Intelligence Be Used to Predict Response in Rectal Cancer? Current Evidence and Future Possibilities.
b1,41935188,2026,10.1038/s41698-026-01401-5,PMC13230897,pending,Neoadjuvant FOLFOXIRI chemotherapy with or without camrelizumab in the treatment of locally advanced rectal cancer: a retrospective cohort study.
b1,41930174,2026,10.32604/or.2026.074385,PMC13040307,pending,Exploring Machine Learning Approaches for Decision Support in Neoadjuvant Therapy of Locally Advanced Rectal Cancer.
b1,41914320,2026,10.3349/ymj.2025.0133,PMC13040183,pending,Deep Learning for Automated Tumor Segmentation of Rectal Cancer on T2-Weighted Magnetic Resonance Images.
b1,41910447,2026,10.1093/bjs/znag006,PMC13034544,pending,"Anal high-grade squamous intraepithelial lesions: identification, classification, and management."
b1,41907627,2026,10.3389/fonc.2026.1781448,PMC13017242,pending,"Creating pelvic exenteration services: obstacles, cultural factors, and learning experiences from the first specialized service in Saudi Arabia and the Gulf region."
b1,41880130,2026,10.1186/s13244-026-02243-2,PMC13018487,pending,An interpretable machine learning model combining MRI-DKI habitat radiomic features and clinical biomarkers for noninvasive prediction of lymphatic metastasis in rectal cancer: a prospective study.
b1,41872553,2026,10.1007/s00402-026-06269-5,PMC13009100,pending,"Pelvic insufficiency fractures after radiation therapy for pelvic cancer in female patients: an updated meta-analysis of 11,272 patients."
b1,41871390,2026,10.3171/CASE25997,PMC13007646,pending,Perineural spread of colorectal carcinoma into the sciatic nerve with positive circulating tumor DNA test: illustrative case.
b1,41869119,2026,10.7759/cureus.103886,PMC13005167,pending,Correlation of Magnetic Resonance Imaging With the Histopathological Staging in Mid and Low Rectal Cancers.
b1,41868873,2026,10.20524/aog.2026.1038,PMC13004817,pending,Diffusion-weighted imaging increases the diagnostic performance of magnetic resonance imaging in assessing rectal cancer T stage and reduces intra- and interobserver variability.
b1,41864930,2026,10.1186/s12935-026-04256-9,PMC13130406,pending,A 13-gene prognostic model developed using machine learning to predict the response to neoadjuvant chemoradiotherapy in rectal carcinoma.
b1,41863063,2026,10.1002/cnr2.70515,PMC13093335,pending,Setup Error Differences and Margin Expansion Among Rectal Cancer Segments: Consistency Evaluation Between EPID and iSCOUT.
b1,41862880,2026,10.1186/s12893-026-03655-z,PMC13126902,pending,A preoperative MRI pelvic multiparameter nomogram for predicting sphincter preservation and operative difficulty in laparoscopic total mesorectal excision for ultra-low rectal cancer.
b1,41861175,2026,10.1097/MD.0000000000048012,PMC13008143,pending,Retrorectal tumors over 25 years: Surgical strategies and long-term outcomes from a high-volume tertiary center.
b1,41857541,2026,10.1186/s12880-026-02269-4,PMC13127060,pending,Interpretable machine learning models based on CT radiomics for predicting chemoradiotherapy response in rectal cancer.
b1,41853097,2026,10.7759/cureus.105371,PMC12994276,pending,Determination of the Accuracy of Computed Tomography in Staging Primary Rectal Carcinoma and Lymph Node Spread Post Chemoradiation Therapy.
b1,41851526,2026,10.1007/s00330-026-12467-x,PMC13342202,pending,Tumor deposits on MRI in rectal cancer-detection and differentiation from lymph nodes with histopathological correlation.
b1,41843889,2026,10.2196/77313,PMC12994884,pending,Rectal Cancer Radiotherapy Response Prediction: Retrospective Study of Development of a Deep Learning-Based Radiomics Model.
b1,41841060,2026,10.7759/cureus.103505,PMC12989249,pending,Pathological Analysis of Lateral Lymph Nodes in Patients With Advanced Rectal Cancer After Preoperative Chemoradiotherapy.
b1,41840743,2026,10.1136/bmjopen-2025-111289,PMC12993317,pending,Microsimulation model to identify suboptimal recurrence detection in patients with colorectal cancer following the current standard of care.
b1,41837262,2026,10.1016/j.vgie.2025.10.005,PMC12988410,pending,Saline-tunneling endoscopic submucosal dissection for residual rectal lesion at anastomotic staple line.
