PMID,Year,DOI,PMC,Title
37682775,2023,10.1097/DCR.0000000000002931,,A Longitudinal MRI-Based Artificial Intelligence System to Predict Pathological Complete Response After Neoadjuvant Therapy in Rectal Cancer: A Multicenter Validation Study.
34913210,2022,10.1002/jmri.28033,,The Conversion of MRI Data With Multiple b-Values into Signature-Like Pictures to Predict Treatment Response for Rectal Cancer.
37316784,2023,10.1186/s12885-023-10984-2,PMC10268479,A multi-centre randomized controlled trial investigating Consolidation Chemotherapy with and without oxaliplatin in distal rectal cancer and Watch & Wait.
37308125,2023,10.6004/jnccn.2023.0030,,"Anal Carcinoma, Version 2.2023, NCCN Clinical Practice Guidelines in Oncology."
35267621,2022,10.3390/cancers14051313,PMC8908981,Targeted Radiotherapy Using Contact X-ray Brachytherapy 50 kV.
34809615,2021,10.1186/s12880-021-00706-0,PMC8609786,Histogram analysis of diffusion-weighted magnetic resonance imaging as a biomarker to predict LNM in T3 stage rectal carcinoma.
37085830,2023,10.1186/s12885-023-10855-w,PMC10120125,Develop and validate a radiomics space-time model to predict the pathological complete response in patients undergoing neoadjuvant treatment of rectal cancer: an artificial intelligence model study based on machine learning.
33741467,2021,10.1016/j.radonc.2021.03.011,,"Deep regional hyperthermia with preoperative radiochemotherapy in locally advanced rectal cancer, a prospective phase II trial."
34944970,2021,10.3390/cancers13246350,PMC8699508,Prediction of Neoadjuvant Chemoradiotherapy Response in Rectal Cancer with Metric Learning Using Pretreatment 18F-Fluorodeoxyglucose Positron Emission Tomography.
34244951,2021,10.1007/s11605-021-05046-6,,Efficacy of Pelvic Peritoneum Closure After Laparoscopic Extralevator Abdominoperineal Excision for Rectal Cancer.
35617529,2023,10.1177/00031348221105575,,Correlation of Tumor Response Between Flexible Sigmoidoscopy and Magnetic Resonance Imaging in Patients Undergoing Neoadjuvant Therapy for Locally Advanced Rectal Cancer: A Retrospective Review.
36800203,2023,10.1002/jso.27216,,The ability of magnetic resonance imaging to predict lymph node metastases and the risk of recurrence in rectal cancer.
33829708,2021,10.12182/20210360202,PMC10408915,[Application of MRI-based Radiomics Models in the Assessment of Hepatic Metastasis of Rectal Cancer].
36862166,2023,10.1007/s00261-023-03854-9,,Added value of spectral parameters in diagnosing metastatic lymph nodes of pT1-2 rectal cancer.
36230770,2022,10.3390/cancers14194846,PMC9563024,Image-Guided Brachytherapy for Rectal Cancer: Reviewing the Past Two Decades of Clinical Investigation.
33767170,2021,10.1038/s41467-021-22188-y,PMC7994301,Predicting treatment response from longitudinal images using multi-task deep learning.
35864013,2022,10.1016/j.ejso.2022.06.009,,Development and validation of artificial intelligence models for preoperative prediction of inferior mesenteric artery lymph nodes metastasis in left colon and rectal cancer.
35482458,2022,10.5041/RMMJ.10472,PMC9049150,Synchronous Malignancies Identified by PET-CT Scan in Breast Cancer Patients.
34990431,2022,10.1097/DCR.0000000000002144,,Image Navigation Surgery With the Fluorescent Ureteral Catheter of Recurrent Tumors in the Pelvic Cavity.
35406415,2022,10.3390/cancers14071643,PMC8996944,The Role of Simultaneous Integrated Boost in Locally Advanced Rectal Cancer Patients with Positive Lateral Pelvic Lymph Nodes.
37349711,2023,10.1186/s12885-023-11083-y,PMC10286325,Malnutrition and visceral obesity predicted adverse short-term and long-term outcomes in patients undergoing proctectomy for rectal cancer.
36579365,2023,10.1111/codi.16464,PMC10108059,"Acute PresentatiOn of coLorectaL cancer - an internatiOnal snapshot (APOLLO): Protocol for a prospective, multicentre cohort study."
36723384,2023,10.1002/cjp2.312,PMC10073932,Predicting microsatellite instability and key biomarkers in colorectal cancer from H&E-stained images: achieving state-of-the-art predictive performance with fewer data using Swin Transformer.
37704927,2023,10.1186/s40792-023-01738-0,PMC10499765,"Double inferior vena cava, an uncommon but relevant anatomical anomaly in surgery for lower rectal cancer: a report of two cases."
36050596,2023,10.1111/codi.16323,,Indocyanine green fluorescence imaging guided laparoscopic para-aortic lymphadenectomy for rectal cancer with para-aortic lymph node metastasis-a video vignette.
38014709,2023,10.1002/cam4.6672,PMC10726782,Wavelet scattering networks in deep learning for discovering protein markers in a cohort of Swedish rectal cancer patients.
34427742,2021,10.1007/s00261-021-03250-1,,MRI features of signet ring rectal cancer.
34790298,2021,10.1055/s-0041-1736404,PMC8590579,Prognostic Significance of EMVI in Rectal Cancer in a Tertiary Cancer Hospital in India.
36686763,2022,10.3389/fonc.2022.1087882,PMC9846353,MRI-based multiregional radiomics for predicting lymph nodes status and prognosis in patients with resectable rectal cancer.
34423347,2021,10.1093/bjs/znab191,,Radiomics modelling in rectal cancer to predict disease-free survival: evaluation of different approaches.
33006668,2021,10.1007/s00595-020-02133-0,PMC8055621,Determining the protective characteristics and risk factors for the development of anastomotic leakage after low anterior resection for rectal cancer.
38179292,2023,10.5603/rpor.96870,PMC10764039,"Incidence risk assessment of secondary cancer due to radiotherapy of women with rectal cancer using BEIR VII, EPA, and ICRP models."
37671062,2023,10.3389/fonc.2023.1153566,PMC10476949,Predictive value of MRI-detected tumor deposits in locally advanced rectal cancer.
37731629,2023,10.3389/fonc.2023.1158315,PMC10508953,Clinical evaluation on automatic segmentation results of convolutional neural networks in rectal cancer radiotherapy.
36697103,2023,10.21873/anticanres.16218,,Correlation of Pre- and Post-radio-chemotherapy MRI Texture Features With Tumor Response in Rectal Cancer.
37690444,2023,10.1159/000533267,,Management of the Rectal Stump after Subtotal Colectomy Operations for Inflammatory Bowel Disease in the Era of Immunologic Therapy: A Two-Centre Cohort Study.
37932915,2023,10.1111/codi.16769,,CLASSICA: Validating artificial intelligence in classifying cancer in real time during surgery.
36089623,2022,10.1186/s40644-022-00485-z,PMC9465956,Whole-liver enhanced CT radiomics analysis to predict metachronous liver metastases after rectal cancer surgery.
33189550,2021,10.1016/j.acra.2020.10.026,,MRI-based delta-radiomics are predictive of pathological complete response after neoadjuvant chemoradiotherapy in locally advanced rectal cancer.
35003742,2022,10.3892/mco.2021.2477,PMC8739073,Efficacy of side-to-end anastomosis to prevent anastomotic leakage after anterior resection for rectal cancer.
36635737,2023,10.1186/s40644-022-00514-x,PMC9835251,Associations of muscle and adipose tissue parameters with long-term outcomes in middle and low rectal cancer: a retrospective cohort study.
36418196,2023,10.1016/j.clcc.2022.10.001,,Sarcopenia is Associated With Oncological Prognosis and the Incidence of Secondary Cancer in Patients With Middle/Lower Rectal Cancer.
35211413,2022,10.3389/fonc.2022.822687,PMC8861348,"Comparison of Synthetic Computed Tomography Generation Methods, Incorporating Male and Female Anatomical Differences, for Magnetic Resonance Imaging-Only Definitive Pelvic Radiotherapy."
36788148,2023,10.1007/s00268-023-06936-3,,Multidimensional Quality of Life After Robotic Versus Laparoscopic Surgery for Rectal Cancer: A Systematic Review and Meta-Analysis.
34144078,2021,10.1016/j.radonc.2021.06.006,,Locoregional relapses in the ACCORD 12/0405-PRODIGE 02 study: Dosimetric study and risk factors.
37287925,2023,10.3389/fonc.2023.1160159,PMC10243597,Treatment paradigm and prognostic factor analyses of rectal squamous cell carcinoma.
34657076,2021,10.1097/DCR.0000000000001921,,Radiologic Factors and Areas of Local Recurrence in Locally Advanced Lower Rectal Cancer After Lateral Pelvic Lymph Node Dissection.
34621476,2021,10.4240/wjgs.v13.i9.1000,PMC8462088,Evaluating the benefit of adjuvant chemotherapy in patients with ypT0-1 rectal cancer treated with preoperative chemoradiotherapy.
35280799,2022,10.3389/fonc.2022.831712,PMC8907443,A Predictive Model of 2yDFS During MR-Guided RT Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer Patients.
36601336,2022,10.4174/astr.2022.103.6.350,PMC9763776,The watch-and-wait strategy versus radical resection for rectal cancer patients with a good response (≤ycT2) after neoadjuvant chemoradiotherapy.
33859937,2021,10.3389/fonc.2021.619852,PMC8042309,MR-Guided Radiotherapy for Rectal Cancer: Current Perspective on Organ Preservation.
35715242,2022,10.1016/j.crad.2022.05.013,,Routine postoperative CT to detect anastomotic leakage after low anterior resection for rectal cancer has a low sensitivity and specificity and a poor interobserver agreement.
36927125,2023,10.1148/rg.220135,,Restaging MRI of Rectal Adenocarcinoma after Neoadjuvant Chemoradiotherapy: Imaging Findings and Potential Pitfalls.
37510154,2023,10.3390/diagnostics13142410,PMC10378103,"Magnetic Resonance Imaging of the Gastrointestinal Tract: Current Role, Recent Advancements and Future Prospectives."
33169626,2021,10.1177/0003134820951499,,Total Neoadjuvant Treatment for Rectal Cancer: Preliminary Experience.
35550803,2022,10.1016/j.jacr.2022.02.012,,ACR Appropriateness Criteria® Staging of Colorectal Cancer: 2021 Update.
35979099,2022,10.12998/wjcc.v10.i17.5634,PMC9258383,Assessment of incidental focal colorectal uptake by analysis of fluorine-18 fluorodeoxyglucose positron emission tomography parameters.
35602548,2022,10.1016/j.phro.2022.05.001,PMC9114680,Semi-automatic tumor segmentation of rectal cancer based on functional magnetic resonance imaging.
35705874,2022,10.1007/s00259-022-05871-0,,Diagnostic performance of [(18)F]-FDG PET/MR in evaluating colorectal cancer: a systematic review and meta-analysis.
35320412,2022,10.1007/s00330-022-08717-3,,The application of apparent diffusion coefficients derived from intratumoral and peritumoral zones for assessing pathologic prognostic factors in rectal cancer.
37750945,2023,10.1259/bjr.20230243,PMC10607399,Imaging prediction of KRAS mutation in patients with rectal cancer through deep metric learning using pretreatment [(18)F]Fluorodeoxyglucose positron emission tomography/computed tomography.
37486461,2023,10.1007/s10151-023-02841-y,PMC10638112,Inflammatory biomarker signatures in post-surgical drain fluid may detect anastomotic leaks within 48 hours of colorectal resection.
37726671,2023,10.1186/s12876-023-02910-4,PMC10510204,Predictive value of lesion morphology in rectal cancer based on MRI before surgery.
35719832,2022,10.7759/cureus.24916,PMC9191267,CT Colonography and Colorectal Carcinoma: Current Trends and Emerging Developments.
36043553,2023,10.17235/reed.2022.9068/2022,,"Anorectal malignant melanoma, a diagnostic challenge."
37430182,2023,10.1186/s12885-023-11073-0,PMC10332026,The impact of sarcopenia on the outcome of patients with left-sided colon and rectal cancer after curative surgery.
36577899,2022,10.1007/s00423-022-02739-7,,Clinical outcomes of neoadjuvant therapy followed by selective inguinal lymph node dissection and total mesorectal excision for metastasized low rectal cancer.
36925125,2023,10.3760/cma.j.cn441530-20230222-00049,,[Laparoscopic versus open pelvic exenteration for locally advanced rectal cancer: analysis of short- and long-term effects].
34380428,2021,10.1186/s12885-021-08480-6,PMC8356457,Exploratory analysis of lateral pelvic sentinel lymph node status for optimal management of laparoscopic lateral lymph node dissection in advanced lower rectal cancer without suspected lateral lymph node metastasis.
33241428,2021,10.1007/s00261-020-02863-2,,An MRI-based multi-objective radiomics model predicts lymph node status in patients with rectal cancer.
35428267,2022,10.1186/s13014-022-02048-9,PMC9013126,Applicability of a pathological complete response magnetic resonance-based radiomics model for locally advanced rectal cancer in intercontinental cohort.
37224039,2023,10.14715/cmb/2023.69.2.16,,Investigating the WNT/TCF pathway and the value of DCE-MRI in predicting and evaluating the efficacy of neoadjuvant radiotherapy and chemotherapy for locally advanced rectal cancer.
33837383,2021,10.1093/bjs/znab056,,Transanal total mesorectal excision and low anterior resection syndrome.
36968215,2022,10.3389/fonc.2022.1006377,PMC10034136,Extramural vascular invasion nomogram before radical resection of rectal cancer based on magnetic resonance imaging.
34306122,2021,10.30699/IJP.2021.130482.2441,PMC8298053,"The Outcome of Induction Chemotherapy, Followed by Neoadjuvant Chemoradiotherapy and Surgery, in Locally Advanced Rectal Cancer."
35339391,2022,10.1016/j.clcc.2022.02.002,,Lateral Lymph Nodes in Rectal Cancer: Do we all Think the Same? A Review of Multidisciplinary Obstacles and Treatment Recommendations.
36576516,2023,10.1007/s00261-022-03771-3,,Correlation of four-phase CT findings of rectal neuroendocrine neoplasms with different World Health Organization grades.
37640952,2023,10.1007/s00464-023-10356-8,,Time required for indocyanine green fluorescence emission for evaluating bowel perfusion in left-sided colon and rectal cancer surgery.
35454033,2022,10.3390/diagnostics12040984,PMC9044748,Pathological Evaluation of Rectal Cancer Specimens Using Micro-Computed Tomography.
34806195,2022,10.1002/mp.15361,,A multitask dual-stream attention network for the identification of KRAS mutation in colorectal cancer.
37491164,2023,10.3760/cma.j.cn112139-20230417-00171,,[Evaluation strategy of complete response after neoadjuvant therapy for rectal cancer].
37795221,2023,10.5603/RPOR.a2023.0051,PMC10547417,Stereotactic MR-guided adaptive radiotherapy (SMART) for primary rectal cancer: evaluation of early toxicity and pathological response.
34858737,2021,10.7759/cureus.19037,PMC8612598,Utility of Restaging MRI Following Neoadjuvant Chemoradiotherapy for Stage II-III Rectal Adenocarcinoma.
38087207,2023,10.1186/s12880-023-01173-5,PMC10717608,KRAS status predicted by pretreatment MRI radiomics was associated with lung metastasis in locally advanced rectal cancer patients.
32915336,2021,10.1007/s10151-020-02343-1,,"Commentary on ""The role of MRI pelvimetry in predicting technical difficulty and outcomes of open and minimally invasive total mesorectal excision: a systematic review""."
36639577,2023,10.1007/s00464-022-09851-1,,microRNAs combined to radiomic features as a predictor of complete clinical response after neoadjuvant radio-chemotherapy for locally advanced rectal cancer: a preliminary study.
37084029,2023,10.1007/s11517-023-02828-9,,Segmentation of rectal tumor from multi-parametric MRI images using an attention-based fusion network.
35715462,2022,10.1038/s41598-022-13967-8,PMC9205935,Analysis of MRI and CT-based radiomics features for personalized treatment in locally advanced rectal cancer and external validation of published radiomics models.
34001462,2021,10.1016/j.clcc.2021.03.003,,Nonoperative Rectal Cancer Management With Short-Course Radiation Followed by Chemotherapy: A Nonrandomized Control Trial.
35232305,2023,10.1177/15533506221076193,,Laparoscopic Extraperitoneal Approach for Lateral Pelvic Node Dissection in Rectal Cancer: Techniques and Short-Term Outcomes.
36790595,2023,10.1007/s00384-023-04330-y,,Predictive value of modified MRI-based split scar sign (mrSSS) score for pathological complete response after neoadjuvant chemoradiotherapy for patients with rectal cancer.
33646452,2021,10.1007/s10334-021-00915-2,,Multiparametric MRI-based machine learning models for preoperatively predicting rectal adenoma with canceration.
34273596,2021,10.1016/j.prro.2021.07.002,,Indeterminate Liver Lesions in Patients With Early Stage Rectal Cancer: Can They Be Ignored?
37086350,2023,10.1007/s13304-023-01518-3,,Assessment of the efficacy of Handmade Vacuum-Assisted Sponge Drain for Treatment of Anastomotic leakage after Low Anterior Rectal Resection.
35837788,2023,10.1002/cam4.4995,PMC9883565,Sociodemographic and clinical factors associated with receipt of biomarker testing in patients with metastatic colorectal cancer.
38375201,2023,10.3389/fonc.2023.1272808,PMC10876287,Optimization of treatment strategies based on preoperative imaging features and local recurrence areas for locally advanced lower rectal cancer after lateral pelvic lymph node dissection.
35771250,2022,10.1007/s00330-022-08902-4,PMC9705418,"Correction to: The awareness of radiologists for the presence of lateral lymph nodes in patients with locally advanced rectal cancer: a single-centre, retrospective cohort study."
36483059,2023,10.1016/j.adro.2022.101109,PMC9723314,Quantification of Organ Motion in Male and Female Patients Undergoing Long-Course Radiation Therapy for Rectal Cancer in the Supine Position.
35381884,2022,10.1007/s10029-022-02580-3,PMC9012864,Use of prophylactic stoma mesh is a risk factor for developing rectus abdominis muscle atrophy.
36380670,2022,10.3760/cma.j.cn112152-20201019-00913,,[Relationship of diffusion kurtosis imaging parameters with the pathologic type and prognosis of rectal tumors].
34126137,2021,10.1016/j.radonc.2021.06.017,,Patterns of failure and implications for clinical target volume definition of locally advanced T4b rectal cancer identified with magnetic resonance imaging and treated using neoadjuvant chemoradiotherapy and surgery.
34759247,2022,10.1097/DCR.0000000000002153,,"Tailored Strategy for Locally Advanced Rectal Carcinoma (GRECCAR 4): Long-term Results From a Multicenter, Randomized, Open-Label, Phase II Trial."
35205695,2022,10.3390/cancers14040948,PMC8869910,Minimally Invasive Endoscopic and Surgical Management of Rectal Neoplasia.
37137947,2023,10.1038/s41598-023-34162-3,PMC10156720,External validation of a radiomic signature to predict p16 (HPV) status from standard CT images of anal cancer patients.
36927812,2023,10.1097/JS9.0000000000000067,PMC10389233,An easy-to-use artificial intelligence preoperative lymph node metastasis predictor (LN-MASTER) in rectal cancer based on a privacy-preserving computing platform: multicenter retrospective cohort study.
36309383,2022,10.21873/invivo.13043,PMC9677754,Survival Analysis Using the Covid-death Mean-imputation (CoDMI) Algorithm: A First Clinical Application in Radiation Oncology.
36766579,2023,10.3390/diagnostics13030474,PMC9914524,Feasibility of Simultaneous Multislice Acceleration Technique in Readout-Segmented Echo-Planar Diffusion-Weighted Imaging for Assessing Rectal Cancer.
37732720,2023,10.1002/jso.27449,,Postchemoradiation magnetic resonance imaging circumferential resection margin predicts treatment failure after multidisciplinary directed sphincter preservation in low rectal cancer.
34842978,2022,10.1007/s00261-021-03356-6,,Accuracy of MRI for predicting anterior peritoneal reflection involvement in locally advanced rectal cancer: a comparison with operative findings.
33047211,2021,10.1007/s00384-020-03776-8,,"The incidence, risk factors, and new prediction score for fluorescence abnormalities of near-infrared imaging using indocyanine green in laparoscopic low anterior resection for rectal cancer."
36221784,2023,10.1111/cas.15610,PMC9899599,Vimentin and tumor-stroma ratio for neoadjuvant chemoradiotherapy response prediction in locally advanced rectal cancer.
37736547,2023,10.3389/fonc.2023.1209732,PMC10509550,Size and depth of residual tumor after neoadjuvant chemoradiotherapy in rectal cancer - implications for the development of new imaging modalities for response assessment.
37795231,2023,10.5603/RPOR.a2023.0045,PMC10547415,Upper limit of radiation treatment portals in rectal cancer: is it wise to keep using bony landmarks in the present era of 3D conformal treatment?
35254485,2022,10.1007/s00330-022-08591-z,PMC9213337,Current controversies in TNM for the radiological staging of rectal cancer and how to deal with them: results of a global online survey and multidisciplinary expert consensus.
35085099,2022,10.1109/JBHI.2022.3146778,PMC9295632,RADIomic Spatial TexturAl Descriptor (RADISTAT): Quantifying Spatial Organization of Imaging Heterogeneity Associated With Tumor Response to Treatment.
34922118,2022,10.1016/j.ejrad.2021.110106,,Value of intravoxel incoherent motion for assessment of lymph node status and tumor response after chemoradiation therapy in locally advanced rectal cancer.
37120027,2023,10.1016/j.ijrobp.2023.04.013,,Coverage of Lateral Lymph Nodes in Rectal Cancer Patients with Routine Radiation Therapy Practice and Associated Locoregional Recurrence Rates.
37736988,2023,10.3390/tomography9050135,PMC10514831,An Updated Review on Imaging and Staging of Anal Cancer-Not Just Rectal Cancer.
35045353,2022,10.1016/j.ejrad.2022.110155,,Combining diffusion kurtosis imaging and clinical data for predicting the extramural venous invasion of rectal adenocarcinoma.
37583024,2023,10.3760/cma.j.cn441530-20230109-00011,,[Anatomical classification of and laparoscopic surgery for left-sided colorectal cancer with persistent descending mesocolon].
36949002,2023,10.1016/j.diii.2023.02.002,,MRI restaging of rectal cancer: The RAC (Response-Anal canal-CRM) analysis joint consensus guidelines of the GRERCAR and GRECCAR groups.
37684345,2023,10.1038/s41598-023-41833-8,PMC10491580,Genomic-driven nutritional interventions for radiotherapy-resistant rectal cancer patient.
37684648,2023,10.1186/s13063-023-07430-w,PMC10486037,PHaLIR: prevent hernia after loop ileostomy reversal-a study protocol for a randomized controlled multicenter study.
36650000,2023,10.3760/cma.j.cn441530-20221128-00496,,[Evaluation of lateral lymph node metastasis in mid-low rectal cancer and planning of multi-disciplinary treatment].
35718076,2022,10.1016/j.prro.2022.06.006,,Overview of Radiation Treatment Volume Variations in Anal Cancer Contouring Guidelines.
37363997,2023,10.1158/1078-0432.CCR-23-0859,PMC10570673,Associations between AI-Assisted Tumor Amphiregulin and Epiregulin IHC and Outcomes from Anti-EGFR Therapy in the Routine Management of Metastatic Colorectal Cancer.
36581784,2022,10.1007/s12672-022-00607-w,PMC9800664,Can patients with good tumor regression grading after neoadjuvant chemoradiotherapy be exempted from lateral lymph node dissection?
37868286,2023,10.5114/wiitm.2023.129545,PMC10585458,Fluorescent ICG angiography in laparoscopic rectal resection - a randomized controlled trial. Preliminary report.
37581500,2023,10.1148/radiol.231661,,Diffusion-weighted MRI for Diagnosing Extramural Venous Invasion in Rectal Cancer after Neoadjuvant Therapy: A Prognostic Biomarker.
35635652,2022,10.1007/s10147-022-02179-9,,Efficacy and safety of regorafenib dose-escalation therapy for Japanese patients with refractory metastatic colorectal cancer (RECC study).
34961302,2021,10.3393/ac.2021.00913.0130,PMC8717070,Lateral Pelvic Lymph Node Dissection After Neoadjuvant Chemoradiotherapy in Patients With Rectal Cancer: A Single-Center Experience and Literature Review.
36199943,2022,10.5114/jcb.2022.119427,PMC9528824,Prediction models for brachytherapy-induced rectal toxicity in patients with locally advanced pelvic cancers: a systematic review.
36513913,2023,10.1007/s13304-022-01429-9,,Does the mesorectal fat area impact the histopathology metrics of the specimen in males undergoing TME for distal rectal cancer?
36831497,2023,10.3390/cancers15041154,PMC9954598,Determinants of Pre-Surgical Treatment in Primary Rectal Cancer: A Population-Based Study.
36220015,2022,10.1088/1361-6560/ac9950,,A clinically relevant online patient QA solution with daily CT scans and EPID-basedin vivodosimetry: a feasibility study on rectal cancer.
36624314,2023,10.1038/s41591-022-02134-1,,Multistain deep learning for prediction of prognosis and therapy response in colorectal cancer.
34655313,2022,10.1007/s00330-021-08251-8,PMC8831294,Sources of variation in multicenter rectal MRI data and their effect on radiomics feature reproducibility.
33711144,2021,10.1093/bjs/znaa009,,Rectal cancer lateral lymph nodes: multicentre study of the impact of obturator and internal iliac nodes on oncological outcomes.
37291527,2023,10.1186/s12880-023-01027-0,PMC10249234,Histogram analysis of dynamic contrast-enhanced magnetic resonance imaging to predict extramural venous invasion in rectal cancer.
36302129,2022,10.1503/cjs.020021,PMC9467464,Quality indicators for operative reporting in transanal endoscopic surgery.
35368044,2022,10.1038/s41416-022-01786-7,PMC9296479,MRI radiomics independent of clinical baseline characteristics and neoadjuvant treatment modalities predicts response to neoadjuvant therapy in rectal cancer.
34766204,2022,10.1007/s00384-021-04044-z,,Internal hernia following laparoscopic anterior resection for cancer: higher prevalence than expected of an under-reported complication.
37661639,2023,10.1177/02841851231198345,,Prognostic value of computed tomography associated body composition measurement changes in metastatic colorectal cancer patients.
38137759,2023,10.3390/jcm12247690,PMC10744245,Predictive Value of the Interaction between CEA and Hemoglobin in Neoadjuvant CCRT Outcomes in Rectal Cancer Patients.
35358109,2023,10.1097/DCR.0000000000002295,PMC10185333,Deep Learning-Based Model for Identifying Tumors in Endoscopic Images From Patients With Locally Advanced Rectal Cancer Treated With Total Neoadjuvant Therapy.
37480350,2023,10.21614/chirurgia.2023.v.118.i.3.p.237,,Simultaneous Approach of Colo-Rectal and Hepatic Lesions in Colo-Rectal Cancers with Liver Metastasis - A Single Oncological Center Overview.
37656773,2023,10.1080/0284186X.2023.2252168,,Pelvic insufficiency fractures and pelvic bone metastases after neoadjuvant (chemo)radiotherapy for rectal cancer.
34869567,2021,10.3389/fsurg.2021.771107,PMC8635027,Postoperative MRI Findings Following Conventional and Extralevator Abdominoperineal Excision in Low Rectal Cancer.
36791752,2023,10.6004/jnccn.2022.7071,,Prevalent Pseudoprogression and Pseudoresidue in Patients With Rectal Cancer Treated With Neoadjuvant Immune Checkpoint Inhibitors.
35067032,2022,10.3760/cma.j.cn441530-20220104-00008,,[Resection margin of colorectal cancer surgery].
34794932,2022,10.1016/j.diii.2021.08.003,,Structured and shared MRI staging lexicon and report of rectal cancer: A consensus proposal by the French Radiology Group (GRERCAR) and Surgical Group (GRECCAR) for rectal cancer.
37278629,2023,10.1148/radiol.222223,,An MRI Deep Learning Model Predicts Outcome in Rectal Cancer.
35997800,2022,10.1007/s00261-022-03636-9,PMC9560929,Comparison of compressed sensing-sensitivity encoding (CS-SENSE) accelerated 3D T2W TSE sequence versus conventional 3D and 2D T2W TSE sequences in rectal cancer: a prospective study.
34725772,2022,10.1007/s11547-021-01421-0,,Does restaging MRI radiomics analysis improve pathological complete response prediction in rectal cancer patients? A prognostic model development.
36597982,2023,10.1111/ans.18252,,The effect of anti-spasmodic administration on the accuracy of magnetic resonance imaging staging of rectal cancer.
35888578,2022,10.3390/medicina58070859,PMC9320131,"Fractional Flow Reserve Cardio-Oncology Effects on Inpatient Mortality, Length of Stay, and Cost Based on Malignancy Type: Machine Learning Supported Nationally Representative Case-Control Study of 30 Million Hospitalizations."
36384504,2022,10.1186/s12876-022-02525-1,PMC9670407,The CT-based intratumoral and peritumoral machine learning radiomics analysis in predicting lymph node metastasis in rectal carcinoma.
33472330,2021,10.3760/cma.j.cn112152-20190130-00057,,[Assessment of setup errors of IGRT combined with a six degrees of freedom bed for patients with primary rectal cancer].
34172021,2021,10.1186/s12885-021-08516-x,PMC8235870,The value of the tumour-stroma ratio for predicting neoadjuvant chemoradiotherapy response in locally advanced rectal cancer: a case control study.
36274570,2022,10.1016/j.ejca.2022.09.012,,Imaging standardisation in metastatic colorectal cancer: A joint EORTC-ESOI-ESGAR expert consensus recommendation.
33866728,2021,10.29271/jcpsp.2021.04.422,,The Prognostic Effects of Clinicopathological Features on Rectal Cancer Patients undergoing Neoadjuvant Chemoradiotherapy.
38156921,2023,10.4103/jcrt.jcrt_2633_22,,Development and validation of a combined nomogram for predicting perineural invasion status in rectal cancer via computed tomography-based radiomics.
36305516,2023,10.1111/ajco.13877,,Clinical and biochemical predictors of tumor response after neoadjuvant therapy in rectal cancer.
37462103,2023,10.1002/jso.27382,,Closure of pelvic peritoneum with bladder peritoneum flap reconstruction after laparoscopic extralevator abdominoperineal excision: A prospective stage II study.
37274291,2023,10.3389/fonc.2023.984145,PMC10233140,Cryotherapy for low rectal and anal cancer: recommendation and indications.
33190987,2021,10.1016/j.clnu.2020.10.050,,Myokines in treatment-naïve patients with cancer-associated cachexia.
37376824,2023,10.1111/codi.16641,,How reliable is restaging MRI after neoadjuvant therapy in rectal cancer?
37443085,2023,10.1186/s40644-023-00589-0,PMC10339540,MRI for nodal restaging after neoadjuvant therapy in rectal cancer with histopathologic comparison.
33125558,2021,10.1007/s00330-020-07397-1,,Three-dimension amide proton transfer MRI of rectal adenocarcinoma: correlation with pathologic prognostic factors and comparison with diffusion kurtosis imaging.
36460579,2023,10.1016/j.clcc.2022.10.005,,Pathologic Implications of Magnetic Resonance Imaging-detected Extramural Venous Invasion of Rectal Cancer.
36408187,2022,10.3389/fonc.2022.901287,PMC9669703,Establishment and validation of novel MRI radiomic feature-based prognostic models to predict progression-free survival in locally advanced rectal cancer.
36806402,2023,10.1016/j.suronc.2023.101910,,"Colonoscopy, imaging, and carcinoembryonic antigen: Comparison of guideline adherence to surveillance strategies in patients who underwent resection of colorectal cancer - A systematic review and meta-analysis."
36030659,2022,10.1016/j.ejrad.2022.110496,,Intravoxel incoherent motion DWI with different mathematical models in predicting rectal adenoma with and without canceration.
36836752,2023,10.3390/life13020395,PMC9967356,Integrated Decision-Making in the Treatment of Colon-Rectal Cancer: The Case of KRAS-Mutated Tumors.
36503503,2022,10.1186/s12893-022-01872-w,PMC9743496,MRI diagnose post-operative anastomotic leak in patients with rectal cancer: preliminary experience.
35067501,2022,10.1097/DCR.0000000000002385,,Impact of Definitive Chemoradiation on Quality-of-Life Changes for Patients With Anal Cancer: Long-term Results of a Prospective Study.
33936966,2021,10.21037/qims-20-659,PMC8047345,Preoperative volumetric synthetic magnetic resonance imaging of the primary tumor for a more accurate prediction of lymph node metastasis in rectal cancer.
33878826,2021,10.3760/cma.j.cn.441530-20200225-00089,,[Predictive value of combination of MRI tumor regression grade and apparent diffusion coefficient for pathological complete remission after neoadjuvant treatment of locally advanced rectal cancer].
37794609,2023,10.1093/postmj/qgad095,PMC10658730,Computer image analysis with artificial intelligence: a practical introduction to convolutional neural networks for medical professionals.
33156543,2021,10.3322/caac.21640,,Current and future cancer staging after neoadjuvant treatment for solid tumors.
34401534,2021,10.1016/j.ctro.2021.07.001,PMC8350187,Metformin with neoadjuvant chemoradiation to improve pathologic response in rectal cancer: A pilot phase I/II trial.
36419131,2022,10.1186/s40170-022-00297-6,PMC9686115,Computed tomography-measured body composition and survival in rectal cancer patients: a Swedish cohort study.
