PMID,Year,DOI,PMC,Title
30463711,2018,10.1016/j.jss.2018.05.042,,Objective Preoperative Parameters Predict Difficult Pelvic Dissections and Clinical Outcomes.
27059037,2016,10.1007/s00384-016-2577-7,,Preoperative chemoradiation with capecitabine for rectal cancer in elderly patients: a phase I trial.
15978431,2005,10.1016/j.soc.2005.05.005,,Evolution of pelvic exenteration.
21232193,2010,,,Rectal cancer surgery. A ten years experience.
29088504,2018,10.1002/bjs.10642,,MRI-based score to predict surgical difficulty in patients with rectal cancer.
15466784,2005,10.1200/JCO.2005.01.032,,"Blockade of platelet-derived growth factor receptor-beta by CDP860, a humanized, PEGylated di-Fab', leads to fluid accumulation and is associated with increased tumor vascularized volume."
29414101,2018,10.1016/j.clinimag.2017.11.012,,Pitfalls in MRI of rectal cancer: What radiologists need to know and avoid.
25583650,2015,10.1007/s12664-014-0522-7,,Intersphincteric resection and hand-sewn coloanal anastomosis for low rectal cancer: Short-term outcomes in the Indian setting.
22199304,2011,,,Feasibility of image-guided radiotherapy based on tomotherapy for the treatment of locally advanced anal carcinoma.
23242038,2013,10.1097/RLU.0b013e3182639a58,,New application of dual point 18F-FDG PET/CT in the evaluation of neoadjuvant chemoradiation response of locally advanced rectal cancer.
20500516,2010,10.1111/j.1349-7006.2010.01604.x,PMC11159752,Cost-effectiveness of carbon ion radiation therapy for locally recurrent rectal cancer.
16480589,2006,,,[Types of liver metastases on MR imaging and characteristics of uncommon types].
19733445,2010,10.1016/j.ijrobp.2009.05.015,,Comparison between perfusion computed tomography and dynamic contrast-enhanced magnetic resonance imaging in rectal cancer.
31653909,2019,10.1038/s41598-019-51629-4,PMC6814843,Radiomics features on radiotherapy treatment planning CT can predict patient survival in locally advanced rectal cancer patients.
27614499,2016,10.1016/j.canrad.2016.07.096,,[Clinical to target volume margins determination in radiotherapy for anal cancers].
28493401,2017,10.1111/codi.13714,,The effect of adjuvant chemotherapy on survival and recurrence after curative rectal cancer surgery in patients who are histologically node negative after neoadjuvant chemoradiotherapy.
33002647,2021,10.1016/j.prro.2020.09.009,,Long-Term Results of a Prospective Phase 2 Study on Volume De-Escalation in Neoadjuvant Chemoradiotherapy of Rectal Cancer.
24686249,2014,10.1097/MNM.0000000000000120,,Are PREDIST criteria better than PERCIST criteria as a PET predictor of preoperative treatment response in rectal cancer?
34284904,2021,10.1016/j.ejso.2021.07.011,,Oncologic impact of lateral lymph node metastasis at the distal lateral compartment in locally advanced low rectal cancer after neoadjuvant (chemo)radiotherapy.
12624670,2003,10.1007/s00117-003-0863-1,,[Diagnosis of colorectal tumors].
28280607,2017,10.21037/jgo.2016.11.03,PMC5334047,Pathologic complete response and disease-free survival are not surrogate endpoints for 5-year survival in rectal cancer: an analysis of 22 randomized trials.
28691219,2018,10.1002/jmri.25814,,Comparison of reduced field-of-view diffusion-weighted imaging (DWI) and conventional DWI techniques in the assessment of rectal carcinoma at 3.0T: Image quality and histological T staging.
34785927,2021,10.2147/JIR.S342214,PMC8591410,Predicting Neoadjuvant Chemoradiotherapy Response in Locally Advanced Rectal Cancer Using Tumor-Infiltrating Lymphocytes Density.
32854730,2020,10.1186/s13014-020-01648-7,PMC7453535,Multicentre clinical radiotherapy audit in rectal cancer: results of the IROCA project.
33150976,2021,10.1111/jgh.15333,,Nomogram for predicting the feasibility of natural orifice specimen extraction after laparoscopic rectal resection.
28328820,2017,10.1097/MD.0000000000006362,PMC5371457,Long-term outcomes of surgery alone versus surgery following preoperative chemoradiotherapy for early T3 rectal cancer: A propensity score analysis.
32940753,2021,10.1007/s00261-020-02757-3,PMC7946652,Measurement of rectal tumor height from the anal verge on MRI: a comparison of internal versus external anal sphincter.
33962569,2021,10.1186/s12885-021-08278-6,PMC8105987,Efficacy of positron emission tomography in diagnosis of lateral lymph node metastases in patients with rectal Cancer: a retrospective study.
25003290,2014,10.1097/DCR.0000000000000163,,Risk factors for bowel dysfunction after sphincter-preserving rectal cancer surgery: a prospective study using the Memorial Sloan Kettering Cancer Center bowel function instrument.
32855399,2020,10.1038/s41467-020-18162-9,PMC7452897,Predicting distant metastasis and chemotherapy benefit in locally advanced rectal cancer.
16718825,2006,10.3748/wjg.v12.i18.2945,PMC4087817,Clinical value of CT three-dimensional imaging in diagnosing gastrointestinal tract diseases.
28002822,2017,10.1159/000452741,,The VEGFR Inhibitor Cediranib Improves the Efficacy of Fractionated Radiotherapy in a Colorectal Cancer Xenograft Model.
26666099,2015,,,MAGNETIC RESONANCE IMAGING TO EVALUATE NEOADJUVANT THERAPY EFFECTS ON RECTAL CARCINOMA.
18049504,2007,,,[Recurrence of rectal cancer--treatment in Norwegian hospitals].
28949102,2017,10.1111/ases.12427,,Robotic surgery for rectal cancer.
31351576,2019,10.1016/j.ciresp.2019.05.014,,Rectal cancer treatment by transanal total mesorectal excision: Results in 100 consecutive patients.
10910241,2000,10.1007/BF02237357,,Prospective evaluation of omentoplasty in preventing leakage of colorectal anastomosis.
18637934,2009,10.1111/j.1463-1318.2008.01636.x,,Preoperative neo-adjuvant therapy for curable rectal cancer--reaching a consensus 2008.
27783353,2016,10.1007/s12664-016-0710-8,,Rectal GIST-Outcomes and viewpoint from a tertiary cancer center.
18637927,2009,10.1111/j.1463-1318.2008.01643.x,,Comparison of preoperative whole-body positron emission tomography with MDCT in patients with primary colorectal cancer.
21892038,2011,10.1097/RLU.0b013e318219b507,,F-18 FDG PET/CT in rectal carcinoma: where are we now?
29732957,2018,10.1177/1553350618773011,,Prospective Trial on Probe-Based Confocal Laser Endomicroscopy for the Identification of the Distal Limit in Rectal Adenocarcinoma.
