PMID,Year,DOI,PMC,Title,Source,Status,Route,Attempts,LastError,PDFPath
12527054,2003,10.1016/s0360-3016(02)04144-5,,Clinical use of the hyperthermia treatment planning system HyperPlan to predict effectiveness and toxicity.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12527054.pdf
12587476,2002,10.2298/aci0202079r,,[Carcinoma of the anal canal--results of radical radiotherapy].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
12595106,2003,10.1016/s0720-048x(02)00231-0,,"Diffusion-weighted magnetic resonance imaging for monitoring diffusion changes in rectal carcinoma during combined, preoperative chemoradiation: preliminary results of a prospective study.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12595106.pdf
12624670,2003,10.1007/s00117-003-0863-1,,[Diagnosis of colorectal tumors].,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12624670.pdf
12657384,2003,10.1016/s0002-9610(02)01405-8,,Comparison between endorectal coil and pelvic phased-array coil magnetic resonance imaging in patients with anorectal tumor.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12657384.pdf
12661247,2002,,,[Ilio-pelvic lymphatic dissection in the rectal cancer].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
12671697,2003,10.1038/sj.bjc.6600822,PMC2376366,Neoadjuvant systemic fluorouracil and mitomycin C prior to synchronous chemoradiation is an effective strategy in locally advanced rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12671697.pdf
12739710,2003,10.1080/00365520310000898,,Relevance of abdominal gas analysis and transit study after colorectal cancer surgery.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12739710.pdf
12742204,2003,10.1016/S1072-7515(03)00136-4,,Elective bowel resection for incurable stage IV colorectal cancer: prognostic variables for asymptomatic patients.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12742204.pdf
12771519,2003,10.1159/000069830,,Feasibility and morbidity of combined hyperthermia and radiochemotherapy in recurrent rectal cancer--preliminary results.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12771519.pdf
12772518,2003,,,Practical issues in adjuvant therapy for rectal cancer.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
12780593,2002,10.1046/j.1463-1318.2002.00350.x,,Palliative stenting of malignant large bowel obstruction.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12780593.pdf
12781885,2003,10.1016/s0002-9610(03)00067-9,,A prospective comparison between multidetector-row computed tomography and magnetic resonance imaging in the preoperative evaluation of rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12781885.pdf
12790368,2003,10.1007/BF02988457,,Scintigraphic prediction of therapeutic outcomes of splenectomy in patients with thrombocytopenia.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12790368.pdf
12801738,2003,10.1016/S0140-6736(03)13583-0,,Smooth muscle cholinergic denervation hypersensitivity in diverticular disease.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12801738.pdf
12827681,2003,10.1002/jso.10261,,Randomised clinical trial of adjuvant postoperative RT vs. sequential postoperative RT plus 5-FU and levamisole in patients with stage II-III resectable rectal cancer: a final report.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12827681.pdf
12831920,2003,10.1016/S1072-7515(03)00337-5,,A case-controlled study of 18-fluorodeoxyglucose positron emission tomography in the detection of pelvic recurrence in previously irradiated rectal cancer patients.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12831920.pdf
12848107,2003,,,"[Report from The 3rd International Sentinel Node Congress, Yokohama, November 16-18, 2002].",1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
12925075,2003,10.1046/j.1463-1318.2003.00522.x,,Treatment of T4 tumours: the role of radiotherapy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_12925075.pdf
14628131,2003,10.1007/s00066-003-1045-9,,Preliminary results on the influence of chemoradiation on apparent diffusion coefficients of primary rectal carcinoma measured by magnetic resonance imaging.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_14628131.pdf
14659646,2004,10.1016/j.jinorgbio.2003.09.001,,"Multinuclear NMR spectroscopy and antitumor activity of novel platinum(II) complexes with 5,7-disubstituted-1,2,4-triazolo[1,5-a]pyrimidines.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_14659646.pdf
14716805,2004,10.1002/bjs.4386,,Optimal total mesorectal excision for rectal cancer is by dissection in front of Denonvilliers' fascia.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_14716805.pdf
14736677,2004,10.2214/ajr.182.2.1820431,,High-resolution MRI of the anatomy important in total mesorectal excision of the rectum.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_14736677.pdf
14751499,2004,10.1016/j.ijrobp.2003.09.057,,High-tech in radiation oncology: should there be a ceiling?,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_14751499.pdf
14759986,2004,10.1093/jnci/djh026,,Impact of preoperative staging and chemoradiation versus postoperative chemoradiation on outcome in patients with rectal cancer: a decision analysis.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_14759986.pdf
15067027,2004,10.1200/JCO.2004.08.173,,Impact of T and N stage and treatment on survival and relapse in adjuvant rectal cancer: a pooled analysis.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15067027.pdf
15107319,2004,10.1259/bjr/95415645,,"The development and application of functional nuclear magnetic resonance to in vivo therapeutic anticancer research: 2002 Sir Godfrey Hounsfield lecture delivered at the President's Day, Manchester.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15107319.pdf
15146154,2004,10.1016/s0399-8320(04)94939-1,,Regional variations in management of rectal cancer in France.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15146154.pdf
15149992,2004,10.2214/ajr.182.6.1821469,,Preoperative MRI of rectal cancer with and without rectal water filling: an intraindividual comparison.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15149992.pdf
15186605,2004,10.1089/108497804323072020,,Detection of colon cancer with 99mTc-labeled bombesin derivative (99mTc-leu13-BN1).,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15186605.pdf
15269036,2004,10.2214/ajr.183.2.1830421,,Staging of rectal cancer: diagnostic potential of multiplanar reconstructions with MDCT.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15269036.pdf
15363467,2004,10.1016/j.critrevonc.2004.07.001,,Neoadjuvant treatment for locally advanced rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15363467.pdf
15457670,2004,,,"Morphometric analysis of AgNORs in thin-layer, liquid-based liver specimens.",1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
15458146,2002,,,Integration of intraoperative radiotherapy (IORT) dose distribution into the postoperative CT-based external beam radiotherapy (EBRT) treatment planing.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
15465196,2004,10.1016/j.ijrobp.2004.04.016,,Clinical implementation of intensity-modulated arc therapy (IMAT) for rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15465196.pdf
15466784,2005,10.1200/JCO.2005.01.032,,"Blockade of platelet-derived growth factor receptor-beta by CDP860, a humanized, PEGylated di-Fab', leads to fluid accumulation and is associated with increased tumor vascularized volume.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15466784.pdf
15487856,2004,10.1024/0369-8394.93.36.1441,,[Radiotherapy of rectal cancer].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
15531145,2004,10.1016/S0899-7071(03)00314-0,,Preoperative local staging of rectal cancer with endorectal MR imaging: comparison with histopathologic findings.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15531145.pdf
15540285,2004,10.1007/s10350-004-0671-3,,Transverse coloplasty pouch after total mesorectal excision: functional assessment of evacuation.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15540285.pdf
15540288,2004,10.1007/s10350-004-0673-1,,Does rectal wall tumor eradication with preoperative chemoradiation permit a change in the operative strategy?,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15540288.pdf
15541284,2004,10.1016/j.jim.2004.07.009,,A new immunofluorostaining method using red fluorescence of PerCP on formalin-fixed paraffin-embedded tissues.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15541284.pdf
15572087,2004,10.1016/j.suronc.2004.09.013,,Management and imaging of low rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15572087.pdf
15572096,2004,10.1016/j.suronc.2004.08.004,,Treatment of locally advanced rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15572096.pdf
15607154,2004,10.1016/j.brachy.2004.09.007,,CT-fluoroscopy guided interstitial brachytherapy with image-based treatment planning for unresectable locally recurrent rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15607154.pdf
15634641,2004,,,[23th meeting of the European Society for Therapeutic Radiology and Oncology (ESTRO)].,1000,done,crossref:scihub,1,,pdfs_sample_1000\PMID_15634641.pdf
15655608,2004,10.1007/s10151-004-0100-6,,Magnetic resonance imaging in rectal cancer: the MERCURY experience.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15655608.pdf
15655623,2004,10.1007/s10151-004-0157-2,,Metachronous colorectal adenocarcinomas.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15655623.pdf
15657650,2004,10.1007/s10350-004-0713-x,,Preoperative chemoradiotherapy and total mesorectal excision surgery for locally advanced rectal cancer: correlation with rectal cancer regression grade.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15657650.pdf
15741027,2005,10.1016/j.ejrad.2004.06.002,,Dynamic contrast-enhanced magnetic resonance imaging: a non-invasive method to evaluate significant differences between malignant and normal tissue.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15741027.pdf
15752893,2005,10.1016/j.ijrobp.2004.07.726,,Assessment of quality of life in patients with rectal cancer treated by preoperative radiotherapy: a longitudinal prospective study.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15752893.pdf
15785880,2005,10.1007/s10350-004-0909-0,,Surgery for locally recurrent rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15785880.pdf
15802457,2005,10.1097/01.RVI.0000153439.89142.1D,,Radiofrequency ablation therapy of remnant colorectal liver metastases after a course of hepatic arterial infusion chemotherapy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15802457.pdf
15859960,2005,10.1111/j.1463-1318.2005.00819.x,,MRI assessment of the bony pelvis may help predict resectability of rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15859960.pdf
15865027,2005,10.1007/3-540-27449-9_14,,Is local excision of T2/T3 rectal cancers adequate?,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15865027.pdf
15865032,2005,10.1007/3-540-27449-9_19,,Evacuation of neorectal reservoirs after TME.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15865032.pdf
15865036,2005,10.1007/3-540-27449-9_23,,Indications for neoadjuvant long-term radiotherapy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15865036.pdf
15868457,2005,10.1007/s10552-004-4027-z,,Colorectal cancer screening in average risk individuals.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15868457.pdf
15936557,2005,10.1016/j.ijrobp.2004.11.005,,Usefulness of magnetic resonance volumetric evaluation in predicting response to preoperative concurrent chemoradiotherapy in patients with resectable rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15936557.pdf
15936558,2005,10.1016/j.ijrobp.2004.11.015,,Comparison of the belly board device method and the distended bladder method for reducing irradiated small bowel volumes in preoperative radiotherapy of rectal cancer patients.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_15936558.pdf
15978431,2005,10.1016/j.soc.2005.05.005,,Evolution of pelvic exenteration.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
16086223,2005,10.1007/s10350-005-0134-5,,Technique and long-term results of intersphincteric resection for low rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16086223.pdf
16208175,2005,10.1097/01.mnm.0000184997.35461.b8,,Radio-guided sentinel node detection during the surgical treatment of rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16208175.pdf
16289647,2006,10.1016/j.ejso.2005.08.006,,Sentinel lymph node in carcinoma of the anal canal: a review.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16289647.pdf
16306635,2005,10.1259/bjr/25335482,,Surgical management of rectal cancer: a multidisciplinary approach to technical and technological advances.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16306635.pdf
16314698,2005,10.1097/01.rmr.0000179461.55234.7d,,Magnetic resonance imaging of the gastrointestinal tract.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16314698.pdf
16322966,2006,10.1007/s10350-005-0248-9,,Total mesorectal excision: the unrecognized pelvic plane.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16322966.pdf
16324387,2005,,,[Shape-memory alloy net-like stent for the management of ureteral stricture: a long-term follow-up report].,50,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
16436831,2006,10.1148/radiol.2382050853,,A 45-second CT perfusion protocol for rectal cancers may not be adequate to infer vascular permeability--surface area products.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16436831.pdf
16443345,2006,10.1016/j.ejso.2005.12.002,,Pre-operative combined modality therapy in the management of locally advanced rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16443345.pdf
16465171,2006,10.1038/sj.bjc.6602947,PMC2361145,MRI directed multidisciplinary team preoperative treatment strategy: the way to eliminate positive circumferential margins?,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16465171.pdf
16480589,2006,,,[Types of liver metastases on MR imaging and characteristics of uncommon types].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
16555255,2006,10.1002/bjs.5417,,Radiological findings do not support lateral residual tumour as a major cause of local recurrence of rectal cancer (Br J Surg 2006; 93: 113-119).,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16555255.pdf
16647361,2006,10.1016/j.amjsurg.2006.01.043,,Evaluating learning and knowledge retention after a continuing medical education course on total mesorectal excision for surgeons.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16647361.pdf
16690432,2006,10.1016/j.ijrobp.2005.12.027,,"MRI identified prognostic features of tumors in distal sigmoid, rectosigmoid, and upper rectum: treatment with radiotherapy and chemotherapy.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16690432.pdf
16718825,2006,10.3748/wjg.v12.i18.2945,PMC4087817,Clinical value of CT three-dimensional imaging in diagnosing gastrointestinal tract diseases.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
16844933,2006,10.1148/rg.264055166,,Evaluation of benign and malignant rectal lesions with CT colonography and endoscopic correlation.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16844933.pdf
16847923,2006,10.1002/jso.20411,,Monoclonal antibody conjugated to gadolinium as a contrast agent for magnetic resonance imaging of human rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16847923.pdf
16861558,2006,10.2214/AJR.05.0011,,Mucinous adenocarcinoma arising from fistula in ano: MRI findings.,50,done,scihub:doi,1,,pdfs_sample\PMID_16861558.pdf
16943523,2006,10.1200/JCO.2005.04.2739,,Lymph node status and TS gene expression are prognostic markers in stage II/III rectal cancer after neoadjuvant fluorouracil-based chemoradiotherapy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16943523.pdf
16951153,2006,10.1158/0008-5472.CAN-06-1437,,Smad3 deficiency promotes tumorigenesis in the distal colon of ApcMin/+ mice.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16951153.pdf
16971367,2006,10.1080/02656730600773175,,Intra-luminal thermometry: is tissue type assignment a necessity for thermal analysis?,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16971367.pdf
16990979,2006,10.1007/s10350-006-0663-6,,Clinical and subclinical leaks after low colorectal anastomosis: a clinical and radiologic study.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_16990979.pdf
17004187,2006,10.1055/s-2006-947279,,"[Clinical pathway (workflow) for diagnostic, therapy and follow-up in patients with rectal cancer].",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17004187.pdf
17005279,2006,10.1016/j.radonc.2006.08.021,,Dose optimisation in single plane interstitial brachytherapy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17005279.pdf
17005514,2007,10.1259/bjr/66311683,,Variation of mesorectal volume with abdominal fat volume in patients with rectal carcinoma: assessment with MRI.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17005514.pdf
17018303,2006,10.1016/j.crad.2006.06.005,,Clarifying margins in the multidisciplinary management of rectal cancer: the MERCURY experience.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17018303.pdf
17039499,2006,10.1002/cncr.22278,,Quality measures for the use of adjuvant chemotherapy and radiation therapy in patients with colorectal cancer: a systematic review.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17039499.pdf
17063435,2006,10.1055/s-2006-927005,,[Neoadjuvant treatment of rectal cancer: towards an individualised therapy].,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17063435.pdf
17096177,2006,10.1007/s10350-006-0734-8,,Vascular anatomy of the rectal stump after total mesorectal excision.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17096177.pdf
17115340,2007,10.1007/s10350-006-0735-7,,The role of positron emission tomography in the management of recurrent colorectal cancer: a review.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17115340.pdf
17224642,2007,10.4161/cbt.6.1.3552,,Diagnostic efficacy and safety of 99mtc-labeled monoclonal antibody ior c5 in patients with colorectal and anal carcinomas: final report clinical trial phase I/II.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17224642.pdf
17262086,2007,10.1038/sj.bjc.6603570,PMC2360056,A phase I/II study of irinotecan when added to 5-fluorouracil and leucovorin and pelvic radiation in locally advanced rectal cancer: a Colorectal Clinical Oncology Group Study.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17262086.pdf
17279430,2007,10.1007/s00423-007-0149-6,,Optimised surgery (so-called TME surgery) and high-resolution MRI in the planning of treatment of rectal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17279430.pdf
17337392,2007,,,[48th meeting of the American Society for Therapeutic Radiology and Oncology (Astro)].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
17338096,2007,,,"[Recommendations for clinical practice: use of TEP-FDG in cancer of the esophagus, stomach, colon and rectum, anal canal, large intestine, pancreas and bile ducts, liver and endocrine tumors (digestive system)].",1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
17419902,2007,,,T-level downstaging and complete pathologic response after preoperative long-term radiochemotherapy for locally advanced rectal cancer.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
17432979,2007,10.1111/j.1463-1318.2006.01116.x,,"Accurate staging, selective preoperative therapy and optimal surgery improves outcome in rectal cancer: a review of the recent evidence.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17432979.pdf
17458586,2007,10.1245/s10434-007-9368-x,,Oncologic results of laparoscopic D3 lymphadenectomy for male sigmoid and upper rectal cancer with clinically positive lymph nodes.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17458586.pdf
17468987,2007,10.1007/s10350-007-0229-2,,"Perineal colostomy with appendicostomy as an alternative for an abdominal colostomy: symptoms, functional status, quality of life, and perceived health.",1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17468987.pdf
17551744,2007,10.1007/s00384-007-0316-9,,The blind colonic J-pouch: an original technique to reduce the surgical risk in the treatment of extra-peritoneal rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17551744.pdf
17551794,2007,10.1245/s10434-007-9471-z,,Is final TNM staging a predictor for survival in locally advanced rectal cancer after preoperative chemoradiation therapy?,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17551794.pdf
17604465,2007,,,Expression of epidermal growth factor receptor as a predictive factor for rectal cancer.,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
17623232,2007,10.1007/s00268-007-9154-8,,Economics and the laparoscopic surgery learning curve: comparison with open surgery for rectosigmoid cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17623232.pdf
17641369,2007,10.1148/radiol.2442061189,,CT perfusion for the monitoring of neoadjuvant chemotherapy and radiation therapy in rectal carcinoma: initial experience.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17641369.pdf
17681244,2007,10.1016/j.brachy.2007.02.152,,Clinical outcome after treatment with a brachytherapy boost versus external beam boost for anal carcinoma.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17681244.pdf
17714925,2007,10.1016/j.clon.2007.07.006,,High dose rate endorectal brachytherapy as a neoadjuvant treatment for patients with resectable rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17714925.pdf
17785976,2007,10.1159/000107713,,Routine use of gastrograffin enema prior to the reversal of a loop ileostomy.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17785976.pdf
17805938,2007,10.1007/s11605-007-0271-3,,Local excision for ypT2 rectal cancer--much ado about something.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17805938.pdf
17870428,2007,10.1016/j.clon.2007.07.013,,Whither papillon? Future directions for contact radiotherapy in rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17870428.pdf
17883838,2007,10.1186/1477-7800-4-23,PMC2063497,Preoperative bi-fractionated accelerated radiation therapy for combined treatment of locally advanced rectal cancer in a consectutive series of unselected patients.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17883838.pdf
17931795,2008,10.1016/j.ijrobp.2007.08.043,,FDG-PET/CT imaging for staging and target volume delineation in preoperative conformal radiotherapy of rectal cancer.,1000,done,scihub:doi,1,,pdfs_sample_1000\PMID_17931795.pdf
17940397,2007,,,[A case of liver metastasis from anorectal malignant melanoma on hemodialysis treated by chemotherapy].,1000,not_found,scihub:title,1,scihub:title: 404/空响应（文献未收录）,
